N	2gram	Bakhtin_sl_1	FransuaR
1	и в	41	40
2	то есть	26	18
3	и его	14	17
4	прежде всего	8	16
5	у рабле	3	16
6	в романе	21	15
7	в этом	12	15
8	мы уже	2	13
9	не только	16	13
10	и не	16	13
11	в его	13	13
12	вовсе не	7	12
13	как и	4	11
14	но и	16	11
15	таким образом	9	10
16	как мы	8	10
17	в них	6	9
18	и все	4	9
19	в сущности	13	9
20	может быть	14	9
21	он не	3	9
22	отношение к	7	8
23	в том	3	8
24	у него	3	8
25	все эти	9	8
26	и с	4	8
27	той же	2	8
28	и на	14	8
29	но в	8	8
30	в своем	3	7
31	в одном	2	7
32	в духе	2	7
33	и др	14	7
34	то же	14	7
35	в этих	2	6
36	к этому	2	6
37	же время	12	6
38	в самом	5	6
39	во всех	17	6
40	в своей	7	6
41	связь с	2	6
42	и других	3	6
43	в той	10	6
44	связи с	2	6
45	в то	14	6
46	до конца	12	6
47	мы видим	2	5
48	xx века	2	5
49	как раз	2	5
50	в нем	30	5
51	не было	3	5
52	те же	2	5
53	а не	15	5
54	и для	4	5
55	в основе	5	5
56	так сказать	5	5
57	в особенности	8	5
58	для него	3	5
59	и во	3	4
60	почти вовсе	5	4
61	у нас	2	4
62	том что	2	4
63	смысле слова	2	4
64	здесь в	4	4
65	до сих	2	4
66	было бы	3	4
67	в ней	4	4
68	в основном	3	4
69	из них	3	4
70	и потому	4	4
71	а также	2	4
72	даже в	2	4
73	один из	4	4
74	сих пор	2	4
75	в их	4	4
76	все это	5	4
77	так в	2	4
78	еще более	5	4
79	роль в	2	4
80	только на	2	4
81	о том	3	4
82	и о	2	4
83	в данном	3	4
84	и даже	6	4
85	также и	3	4
86	и здесь	3	4
87	в истории	3	4
88	так как	3	4
89	в эту	2	4
90	поэтому и	3	3
91	с его	4	3
92	всех этих	4	3
93	они были	2	3
94	в частности	2	3
95	и от	4	3
96	для понимания	2	3
97	правда не	2	3
98	и к	5	3
99	и стиля	2	3
100	в ее	2	3
101	одна из	2	3
102	большей или	4	3
103	кроме того	4	3
104	еще не	4	3
105	но именно	4	3
106	такого рода	2	3
107	и следовательно	7	3
108	как бы	12	3
109	о нем	4	3
110	со всею	2	3
111	и наконец	4	3
112	дело не	2	3
113	так и	11	3
114	как в	8	3
115	не может	14	3
116	а в	6	3
117	на самом	2	3
118	там где	4	3
119	жизнь в	2	3
120	слово в	10	3
121	для того	2	3
122	между ними	2	3
123	можно было	2	3
124	или меньшей	4	3
125	сказать что	2	3
126	между тем	2	3
127	при этом	6	3
128	же и	2	3
129	в себе	3	3
130	в другом	2	3
131	только в	6	3
132	на протяжении	2	3
133	связанные с	3	3
134	и самое	2	3
135	здесь не	2	3
136	в других	3	3
137	слова в	8	2
138	не исчерпывается	2	2
139	связана с	2	2
140	ему не	2	2
141	чем он	2	2
142	хотя бы	3	2
143	с другой	5	2
144	это не	6	2
145	из этих	3	2
146	но здесь	3	2
147	одного из	2	2
148	и форм	2	2
149	образом в	3	2
150	в условиях	2	2
151	или иной	9	2
152	можно сказать	2	2
153	как его	5	2
154	все же	7	2
155	следовательно и	3	2
156	на этом	2	2
157	но не	2	2
158	не были	3	2
159	конечно не	3	2
160	в большей	3	2
161	и сам	3	2
162	века в	2	2
163	например в	2	2
164	от языка	3	2
165	на его	8	2
166	к нему	5	2
167	меньшей степени	4	2
168	по преимуществу	4	2
169	и той	2	2
170	одним из	4	2
171	из этого	3	2
172	том же	4	2
173	той или	9	2
174	в котором	2	2
175	слова и	13	2
176	в целом	2	2
177	данном случае	3	2
178	в языке	5	2
179	в разных	3	2
180	именно в	3	2
181	одновременно и	2	2
182	лишь в	4	2
183	и у	2	2
184	эпохи и	2	2
185	рядом с	4	2
186	нас в	2	2
187	потому что	2	2
188	одной из	3	2
189	он в	5	2
190	с этим	3	2
191	но он	2	2
192	точки зрения	16	2
193	и ее	3	2
194	выражение в	3	2
195	романа в	3	2
196	и стиль	2	2
197	далеко не	5	2
198	язык и	10	2
199	в которой	4	2
200	того же	6	2
201	в плане	6	2
202	мы не	2	2
