N	2gram	Tiupa_Hudo_1	VerxiiNi
1	и в	14	26
2	в этом	11	15
3	точки зрения	5	13
4	как бы	7	12
5	в том	12	11
6	может быть	5	10
7	не только	12	10
8	и с	4	10
9	связи с	4	9
10	что в	6	9
11	но и	5	9
12	но не	3	8
13	и не	2	8
14	том что	16	7
15	из них	4	7
16	то что	8	7
17	а с	2	7
18	потому что	5	7
19	но в	5	7
20	в конце	4	6
21	к тому	7	6
22	и потому	2	6
23	несмотря на	4	6
24	все же	3	6
25	так и	13	6
26	все это	2	6
27	все эти	3	6
28	с точки	3	6
29	в себе	11	6
30	о том	12	6
31	и к	4	5
32	до сих	2	5
33	одной из	2	5
34	в его	8	5
35	никогда не	6	5
36	к жизни	5	5
37	сих пор	2	5
38	лишь в	3	5
39	а не	12	5
40	того чтобы	3	5
41	не имеет	2	5
42	и для	3	5
43	в мире	3	5
44	в этих	5	4
45	и от	4	4
46	что он	9	4
47	в нем	3	4
48	в самом	4	4
49	не может	7	4
50	а в	7	4
51	то же	9	4
52	и что	2	4
53	и по	3	4
54	ничем не	3	4
55	он не	4	4
56	в то	8	4
57	только в	5	4
58	в этой	8	4
59	не менее	5	3
60	в рамках	2	3
61	же как	2	3
62	если бы	3	3
63	так или	2	3
64	ясно что	2	3
65	можно сказать	4	3
66	для него	10	3
67	так что	2	3
68	в своем	4	3
69	в качестве	9	3
70	и о	4	3
71	если в	2	3
72	тем не	4	3
73	отношению к	8	3
74	в связи	3	3
75	при этом	12	3
76	но с	2	3
77	уже не	7	3
78	в значительной	2	3
79	того что	4	3
80	и даже	3	3
81	в таком	3	3
82	или иначе	2	3
83	с этой	2	3
84	в результате	2	3
85	с его	5	2
86	именно в	7	2
87	состоит в	2	2
88	превращается в	3	2
89	только для	2	2
90	больше не	2	2
91	прежде всего	11	2
92	на то	4	2
93	а также	3	2
94	в начале	2	2
95	как от	2	2
96	по своему	3	2
97	же время	8	2
98	еще не	7	2
99	они в	2	2
100	с того	2	2
101	один из	4	2
102	жизни и	5	2
103	заключает в	2	2
104	приводит к	3	2
105	только что	4	2
106	особенно в	2	2
107	не было	4	2
108	этом отношении	3	2
109	одновременно и	5	2
110	в глазах	6	2
111	и на	3	2
112	не в	7	2
113	совершенно иной	2	2
114	по своей	4	2
115	о котором	2	2
116	и все	4	2
117	и это	4	2
118	между тем	8	2
