N	2gram	Berdyaev_M_2	Formalny
1	и в	46	38
2	в этом	20	27
3	т е	4	26
4	может быть	21	23
5	и его	5	21
6	и не	18	20
7	в самом	5	16
8	прежде всего	12	15
9	не в	9	15
10	не может	15	14
11	в нем	22	13
12	но и	15	13
13	связи с	2	13
14	с его	4	11
15	в том	3	11
16	в его	5	10
17	и с	3	9
18	как и	13	9
19	не только	18	9
20	на почве	3	9
21	что и	4	8
22	так и	4	8
23	тем что	3	8
24	точки зрения	2	8
25	что в	4	7
26	по себе	2	7
27	для него	18	7
28	в своей	5	7
29	лишь в	2	7
30	уже не	4	7
31	не было	11	6
32	все время	2	6
33	то что	5	6
34	в ней	11	6
35	в этой	7	6
36	вместе с	2	6
37	то же	5	6
38	а не	13	6
39	он не	10	6
40	только в	3	6
41	а в	2	6
42	хотя бы	7	6
43	если бы	3	5
44	что он	7	5
45	это и	3	5
46	по преимуществу	5	5
47	во всех	2	5
48	что же	2	5
49	и для	7	5
50	еще более	2	5
51	в основе	2	5
52	бы в	2	5
53	и должно	3	5
54	оно не	2	4
55	к тому	5	4
56	лишь как	3	4
57	что они	3	4
58	в сущности	2	4
59	не о	2	4
60	как бы	8	4
61	и к	7	4
62	в высшей	3	4
63	как в	7	4
64	что не	2	4
65	высшей степени	3	4
66	они не	4	4
67	ничего не	2	4
68	так как	8	4
69	но в	10	4
70	а лишь	2	3
71	же как	3	3
72	место в	2	3
73	и здесь	6	3
74	его нельзя	2	3
75	как ее	2	3
76	его с	2	3
77	не есть	13	3
78	жизни и	6	3
79	быть и	2	3
80	только и	4	3
81	к нему	2	3
82	того что	6	3
83	того чтобы	4	3
84	для того	5	3
85	менее всего	3	3
86	и на	3	3
87	сам по	2	3
88	хотя и	2	3
89	как к	2	3
90	и все	5	3
91	его в	3	3
92	что это	6	3
93	от этого	2	3
94	уже в	2	2
95	сам он	2	2
96	правда в	2	2
97	никогда не	18	2
98	в этих	2	2
99	тому что	4	2
100	для этого	4	2
101	от его	2	2
102	это не	5	2
103	в такой	3	2
104	в конце	5	2
105	ее и	2	2
106	до конца	4	2
107	том что	4	2
108	но это	8	2
109	то в	2	2
110	совсем не	5	2
111	она не	8	2
112	было в	3	2
113	к другому	3	2
114	же и	2	2
115	не так	3	2
116	он был	9	2
117	один из	5	2
118	не будет	3	2
119	не к	2	2
120	отношение к	8	2
121	ни в	3	2
122	ее в	2	2
123	его не	2	2
124	на этом	2	2
125	и других	2	2
126	превращается в	2	2
127	не имеет	4	2
128	должно быть	2	2
129	есть лишь	17	2
130	сказать что	3	2
131	между тем	2	2
132	он в	3	2
133	и от	3	2
134	они были	3	2
135	вопроса о	4	2
136	и это	5	2
137	и этим	2	2
138	в чем	3	2
139	потому что	12	2
140	в которой	2	2
141	с ним	3	2
142	та же	10	2
