N	3gram	Losev_Dial_3	Psycholo
1	на то что	3	16
2	в том что	3	14
3	с одной стороны	3	12
4	к тому что	2	6
5	в зависимости от	2	6
6	о том что	5	6
7	в самом деле	5	5
8	с другой стороны	2	5
9	не только не	7	4
10	из того что	2	3
11	иметь в виду	2	3
12	сам по себе	5	3
13	и то же	2	3
14	одно и то	2	3
15	и т д	23	3
16	сами по себе	3	2
17	той или иной	2	2
18	так же как	2	2
19	не что иное	6	2
20	на первый план	4	2
21	то что мы	3	2
22	с точки зрения	14	2
23	не может быть	6	2
24	что иное как	6	2
25	само по себе	5	2
26	что это есть	2	2
