N	2gram	Berdyaev_O_1	Problema
1	в его	7	43
2	и не	13	42
3	и в	19	38
4	не может	4	27
5	может быть	11	26
6	как бы	3	22
7	и с	2	17
8	и его	4	16
9	в нем	10	15
10	в этом	12	15
11	прежде всего	9	13
12	в единстве	2	12
13	и для	2	11
14	к нему	3	10
15	отношение к	5	10
16	художественном творчестве	2	10
17	но и	13	9
18	не имеет	2	9
19	его в	2	9
20	не только	11	9
21	в том	5	8
22	было бы	3	8
23	то что	5	8
24	что в	4	7
25	не в	11	7
26	в самом	5	7
27	как и	6	7
28	еще не	3	7
29	в своей	2	7
30	а в	5	6
31	не есть	2	6
32	все же	2	6
33	и этим	2	6
34	ничего не	2	6
35	в своем	2	5
36	это не	3	5
37	никогда не	9	5
38	все эти	4	5
39	должно быть	2	5
40	с ним	3	5
41	и о	2	5
42	так и	2	5
43	а не	11	5
44	могут быть	3	5
45	в других	2	4
46	сказать что	2	4
47	о том	3	4
48	и потому	2	4
49	но в	2	4
50	в ее	2	4
51	что не	4	4
52	хотя бы	3	4
53	в себе	3	4
54	и от	3	3
55	хотя и	2	3
56	природы и	2	3
57	все это	6	3
58	есть лишь	4	3
59	и на	2	3
60	и все	10	3
61	и к	2	3
62	том что	2	3
63	от него	7	3
64	все что	3	3
65	он не	7	3
66	чем в	2	2
67	не могут	3	2
68	и есть	3	2
69	в этих	3	2
70	что все	2	2
71	ивана карамазова	7	2
72	ни с	7	2
73	как к	2	2
74	не было	9	2
75	в самой	9	2
76	лишь в	7	2
77	того что	3	2
78	его не	2	2
79	в своих	3	2
80	в истории	2	2
81	в россии	5	2
82	с его	4	2
83	не все	2	2
84	к этому	2	2
85	что он	3	2
86	что и	2	2
87	человека в	11	2
88	того чтобы	4	2
89	для того	3	2
90	и он	8	2
91	тем что	2	2
92	и ее	3	2
93	в другом	2	2
94	не могли	2	2
