N	3gram	Vinokur_St_1	Myshleni
1	в том что	17	31
2	заключается в том	3	14
3	с точки зрения	8	11
4	с одной стороны	2	9
5	с другой стороны	6	8
6	в этом отношении	7	7
7	в самом деле	5	6
8	так же как	3	5
9	можно было бы	8	5
10	для того чтобы	10	5
11	в первую очередь	2	4
12	на то что	4	4
13	и то что	2	4
14	в равной мере	2	3
15	о том что	11	3
16	в этом случае	2	3
17	одним и тем	2	3
18	во всяком случае	6	3
19	и тем же	2	3
20	то обстоятельство что	2	3
21	речь идет о	2	3
22	в том числе	2	2
23	том числе и	2	2
24	в данном случае	6	2
25	в этой области	5	2
26	в том смысле	2	2
27	в свое время	2	2
28	так как в	2	2
29	только в том	3	2
30	и только в	3	2
31	но и в	2	2
