N	3gram	Vygotskiy__7	EvropaiC
1	в том что	13	16
2	до сих пор	3	12
3	по отношению к	5	10
4	друг с другом	2	9
5	с точки зрения	21	8
6	на то что	4	7
7	на самом деле	2	7
8	мы говорили выше	2	6
9	друг от друга	2	6
10	для того чтобы	18	6
11	по сравнению с	7	5
12	в самом деле	4	5
13	не может быть	4	4
14	о том что	4	4
15	о которых мы	2	4
16	тем не менее	3	4
17	в этом случае	14	4
18	которых мы говорили	2	4
19	в данном случае	5	3
20	так же как	7	3
21	таким образом в	2	3
22	и то что	3	3
23	заключается в том	4	3
24	том что он	2	2
25	в свою очередь	2	2
26	с одной стороны	5	2
27	как и в	3	2
28	в том и	3	2
29	вместе с тем	4	2
