N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	40
2	и не	11	30
3	и есть	10	19
4	а не	17	18
5	может быть	7	17
6	то что	4	16
7	и в	16	15
8	не имеет	4	14
9	это есть	7	13
10	это не	4	12
11	прежде всего	4	11
12	в том	8	11
13	не может	16	11
14	и все	4	11
15	в этом	7	11
16	с ее	5	10
17	в основе	3	10
18	потому что	4	10
19	том что	2	10
20	все это	5	9
21	мы не	2	9
22	и что	2	9
23	это и	2	9
24	уже не	2	9
25	и пр	3	9
26	значит что	4	9
27	ни в	6	8
28	не в	6	8
29	в себе	2	8
30	не только	5	8
31	и это	2	8
32	что в	9	7
33	должна быть	3	7
34	и мы	4	7
35	как и	7	7
36	хотя и	2	6
37	и даже	2	6
38	сказать что	3	6
39	в то	2	6
40	я не	2	5
41	так и	2	5
42	того чтобы	2	5
43	в ней	5	5
44	в нем	5	5
45	что она	2	5
46	и на	2	5
47	о том	4	5
48	с его	6	5
49	в жизни	5	5
50	быть в	2	5
51	в смысле	2	5
52	что такое	3	5
53	и для	4	5
54	мир и	2	4
55	что все	2	4
56	но это	6	4
57	есть в	2	4
58	жизни и	8	4
59	но и	3	4
60	так же	2	4
61	и с	2	4
62	с тем	3	4
63	этом смысле	2	4
64	с их	2	4
65	она не	3	4
66	еще не	3	4
67	хотя бы	2	4
68	тому как	3	4
69	подобно тому	3	4
70	к жизни	3	3
71	более не	2	3
72	все эти	2	3
73	свободы и	2	3
74	с этим	2	3
75	в истории	3	3
76	но в	2	3
77	я уже	2	3
78	можно назвать	2	3
79	в одну	2	3
80	за пределы	3	3
81	в своей	3	3
82	я называю	2	3
83	и потому	4	3
84	в природе	2	3
85	как в	3	3
86	вот почему	2	3
87	могут быть	2	3
88	не менее	4	2
89	человека и	3	2
90	вопрос о	3	2
91	никогда не	6	2
92	из ее	2	2
93	другой стороны	2	2
94	для этого	2	2
95	не было	4	2
96	лишь в	6	2
97	должно быть	4	2
98	ведь и	2	2
99	как это	2	2
100	в них	4	2
101	думать что	2	2
102	природе и	2	2
103	в ее	3	2
104	не будет	7	2
105	равно как	2	2
106	конечно не	3	2
107	ни одна	2	2
108	не значит	3	2
109	нет и	2	2
110	себя в	2	2
111	нем нет	2	2
112	как не	8	2
113	во всех	3	2
114	вместе с	2	2
115	истории и	9	2
116	но для	2	2
117	как будто	2	2
118	познания и	2	2
119	мы говорим	2	2
120	не могли	2	2
121	это было	3	2
