N	2gram	Bakhtin_Pr_1	UchenyiS
1	и в	29	14
2	а не	22	10
3	не только	15	10
4	и не	31	8
5	прежде всего	7	8
6	то что	15	7
7	в этом	22	7
8	не может	12	7
9	может быть	24	6
10	в художественном	3	5
11	хотя бы	2	5
12	художественного творчества	3	5
13	перестает быть	4	5
14	все это	6	5
15	то же	14	5
16	но и	14	4
17	в этой	4	4
18	в их	3	4
19	в россии	2	4
20	конечно не	2	4
21	с другой	3	4
22	но в	7	3
23	как и	12	3
24	все же	9	3
25	в своей	8	3
26	бы то	2	3
27	то ни	2	3
28	же время	9	3
29	другой стороны	3	3
30	для него	18	3
31	это не	9	3
32	в то	10	3
33	не как	14	3
34	было бы	5	3
35	не о	2	3
36	ни было	2	3
37	том что	7	2
38	но не	9	2
39	в том	8	2
40	по существу	3	2
41	с его	9	2
42	художественного задания	3	2
43	не есть	2	2
44	не в	7	2
45	всех этих	2	2
46	и для	4	2
47	но это	4	2
48	бы и	4	2
49	должна была	4	2
50	должна быть	5	2
51	представляется нам	2	2
52	этом смысле	10	2
53	если бы	9	2
54	только в	10	2
55	и с	4	2
56	тем что	4	2
57	сих пор	2	2
58	могут быть	6	2
59	его и	2	2
60	что он	8	2
61	и у	3	2
62	в себе	7	2
63	как раз	6	2
64	до сих	2	2
65	в конце	6	2
66	могли бы	2	2
67	этом отношении	3	2
68	в самом	10	2
69	не могут	6	2
70	по себе	8	2
71	превращается в	4	2
72	а его	2	2
73	одним из	6	2
74	ничего не	5	2
75	самом деле	6	2
76	а как	7	2
77	что она	6	2
78	что и	4	2
79	в его	24	2
80	между тем	5	2
81	конце концов	5	2
82	таким образом	12	2
83	же не	2	2
84	как таковой	2	2
