N	2gram	Ircho_Kome_2	StatiiOP
1	и в	26	29
2	том что	9	27
3	в том	11	27
4	в этом	10	21
5	но и	10	19
6	что в	9	19
7	не только	7	19
8	о том	6	17
9	что он	5	13
10	в его	4	13
11	то что	6	11
12	все это	3	11
13	в которой	5	11
14	к тому	12	10
15	таким образом	6	10
16	в своем	6	9
17	и т	2	9
18	так и	12	9
19	и не	14	9
20	потому что	6	9
21	он не	2	9
22	по поводу	3	8
23	но в	3	8
24	в г	17	7
25	но все	3	7
26	с тем	5	7
27	в самом	4	7
28	в ней	3	7
29	в виду	2	7
30	в котором	3	7
31	в своей	3	7
32	вместе с	9	7
33	тому что	4	7
34	того как	3	7
35	для того	5	7
36	об этом	2	6
37	в одном	2	6
38	вовсе не	2	6
39	вопрос о	3	6
40	до сих	2	6
41	одним из	2	6
42	все же	4	6
43	в течение	2	6
44	и что	2	6
45	того чтобы	6	6
46	и его	12	6
47	и на	7	6
48	о чем	3	5
49	прежде всего	4	5
50	в той	2	5
51	в качестве	5	5
52	было бы	8	5
53	как бы	2	5
54	сих пор	2	5
55	между тем	4	5
56	точки зрения	4	5
57	речь идет	3	4
58	в частности	4	4
59	что у	4	4
60	с другой	2	4
61	к этому	5	4
62	того времени	3	4
63	не в	2	4
64	после того	2	4
65	и к	2	4
66	хотя и	4	4
67	в нем	6	4
68	еще более	2	4
69	действующих лиц	5	4
70	связи с	3	4
71	и с	5	4
72	своего времени	2	4
73	не менее	4	3
74	что это	4	3
75	в этих	4	3
76	не является	2	3
77	это слово	4	3
78	с этим	5	3
79	на себя	7	3
80	в образе	3	3
81	идет о	2	3
82	что на	3	3
83	ни в	5	3
84	тому же	11	3
85	меньше всего	4	3
86	так что	5	3
87	в начале	4	3
88	обращает на	5	3
89	но не	3	3
90	в пользу	2	3
91	одной из	4	3
92	например в	3	3
93	наконец в	2	3
94	в обоих	3	3
95	всяком случае	2	3
96	из них	7	3
97	как в	3	3
98	в их	3	3
99	т п	2	3
100	не было	3	3
101	тем что	3	3
102	с самого	2	3
103	за то	4	3
104	хотя бы	2	3
105	сомневаться в	2	3
106	во всяком	2	3
107	и здесь	6	3
108	во время	6	2
109	с его	5	2
110	ни было	2	2
111	и другие	2	2
112	если бы	9	2
113	в них	4	2
114	в какой	2	2
115	с этой	3	2
116	в одной	2	2
117	если не	2	2
118	в конце	2	2
119	в духе	2	2
120	и я	2	2
121	что именно	2	2
122	в тех	3	2
123	что и	7	2
124	он был	2	2
125	в ее	2	2
126	только потому	2	2
127	а затем	5	2
128	как и	4	2
129	то ни	2	2
130	из его	2	2
131	должна была	2	2
132	в этой	3	2
133	в истории	5	2
134	в то	6	2
135	по своему	2	2
136	как известно	2	2
137	и сам	3	2
138	в это	2	2
139	может быть	11	2
140	не по	4	2
141	еще в	4	2
142	даже в	2	2
143	нет и	2	2
144	только в	4	2
145	с той	2	2
146	себя внимание	5	2
147	бы то	2	2
148	со стороны	2	2
149	не может	3	2
150	то же	3	2
151	в отличие	2	2
152	на этот	4	2
153	не имеет	3	2
154	ко времени	3	2
155	была не	2	2
156	с и	4	2
157	это время	3	2
158	в один	2	2
159	на это	2	2
160	в период	3	2
161	его в	4	2
162	как он	3	2
163	и это	2	2
164	так как	4	2
165	как это	4	2
166	того же	3	2
167	отличие от	2	2
168	по адресу	4	2
169	это было	4	2
