N	2gram	Voloshinov_1	VerxiiNi
1	и в	12	26
2	таким образом	12	22
3	вместе с	2	15
4	в этом	4	15
5	точки зрения	14	13
6	как бы	13	12
7	в том	6	11
8	может быть	14	10
9	не только	4	10
10	и с	3	10
11	что в	2	9
12	но и	3	9
13	так как	9	9
14	с другой	4	8
15	но не	2	8
16	и не	10	8
17	как на	2	8
18	том что	5	7
19	но все	2	7
20	одной стороны	2	7
21	к нему	4	7
22	то что	5	7
23	с одной	2	7
24	но в	5	7
25	и потому	2	6
26	что и	2	6
27	все же	4	6
28	так и	4	6
29	все это	3	6
30	в отношении	2	6
31	все эти	3	6
32	с точки	2	6
33	в себе	3	6
34	о том	3	6
35	и к	4	5
36	тому же	2	5
37	отношение к	4	5
38	до сих	3	5
39	в его	2	5
40	никогда не	5	5
41	сих пор	3	5
42	так же	3	5
43	а не	5	5
44	и для	3	5
45	в этих	2	4
46	в нем	6	4
47	в самом	4	4
48	в котором	3	4
49	не может	16	4
50	то же	5	4
51	и что	2	4
52	и по	3	4
53	с другими	2	4
54	он не	2	4
55	в то	2	4
56	только в	6	4
57	не менее	3	3
58	и другие	2	3
59	если бы	9	3
60	хотя бы	5	3
61	к этому	2	3
62	ясно что	3	3
63	можно сказать	5	3
64	для него	3	3
65	в своем	2	3
66	к ним	2	3
67	тем не	3	3
68	отношению к	11	3
69	когда он	3	3
70	при этом	6	3
71	уже не	4	3
72	того что	3	3
73	и те	2	3
74	с этой	2	3
75	уже в	2	2
76	с его	2	2
77	ни было	4	2
78	перестает быть	2	2
79	в них	3	2
80	тогда когда	2	2
81	на все	2	2
82	прежде всего	8	2
83	так называемой	3	2
84	к его	2	2
85	и здесь	2	2
86	то ни	3	2
87	что мы	5	2
88	еще не	3	2
89	героев и	2	2
90	общего с	2	2
91	конечно не	3	2
92	и является	4	2
93	и проч	3	2
94	бы то	3	2
95	не к	3	2
96	жизни и	4	2
97	в процессе	6	2
98	быть и	3	2
99	связь с	2	2
100	те же	2	2
101	мы имеем	2	2
102	этой точки	3	2
103	и на	4	2
104	сказать что	7	2
105	не в	4	2
106	мы можем	2	2
107	и наконец	3	2
108	же самое	2	2
109	и все	2	2
110	из этого	3	2
111	относится к	2	2
112	творца и	7	2
113	между тем	3	2
114	в виду	5	2
115	из него	2	2
