N	2gram	Tiupa_Narr_1	VerxiiNi
1	и в	19	26
2	в этом	17	15
3	точки зрения	10	13
4	как бы	4	12
5	в том	18	11
6	после смерти	2	10
7	может быть	25	10
8	не только	32	10
9	и с	4	10
10	из этих	3	10
11	связи с	4	9
12	что в	3	9
13	но и	23	9
14	в области	2	9
15	с другой	8	8
16	но не	5	8
17	и не	20	8
18	том что	14	7
19	но все	4	7
20	одной стороны	7	7
21	из них	3	7
22	к нему	5	7
23	то что	11	7
24	а с	3	7
25	с одной	7	7
26	но в	6	7
27	к тому	7	6
28	и потому	2	6
29	несмотря на	2	6
30	все же	7	6
31	так и	9	6
32	все эти	2	6
33	с точки	2	6
34	в себе	8	6
35	и т.д	7	6
36	о том	6	6
37	том числе	6	5
38	тому же	5	5
39	отношение к	2	5
40	одной из	4	5
41	в его	9	5
42	никогда не	3	5
43	или менее	2	5
44	так же	2	5
45	а не	12	5
46	не имеет	2	5
47	в силу	4	5
48	и для	2	5
49	в мире	9	5
50	более или	2	5
51	что он	6	4
52	в нем	4	4
53	числе и	4	4
54	из которых	4	4
55	не может	10	4
56	и только	2	4
57	а в	11	4
58	то же	4	4
59	он не	3	4
60	в то	3	4
61	только в	4	4
62	то есть	19	4
63	в этой	5	4
64	далеко не	5	4
65	не менее	3	3
66	в рамках	12	3
67	за собой	4	3
68	же как	3	3
69	что это	3	3
70	так или	2	3
71	хотя бы	4	3
72	точно так	2	3
73	можно сказать	5	3
74	для него	2	3
75	и как	5	3
76	представляет собой	13	3
77	в своем	2	3
78	в качестве	21	3
79	если в	3	3
80	тем не	3	3
81	отношению к	6	3
82	когда он	3	3
83	в связи	2	3
84	при этом	9	3
85	уже не	5	3
86	в значительной	2	3
87	и даже	3	3
88	в таком	2	3
89	или иначе	3	3
90	в результате	2	3
91	уже в	3	2
92	или иное	2	2
93	с его	6	2
94	ни было	3	2
95	именно в	6	2
96	состоит в	13	2
97	одно из	2	2
98	не как	2	2
99	прежде всего	4	2
100	не всегда	2	2
101	утверждать что	2	2
102	в свою	3	2
103	или иной	5	2
104	ему в	2	2
105	а также	7	2
106	по существу	2	2
107	то ни	3	2
108	что именно	2	2
109	же время	4	2
110	что мы	2	2
111	еще не	7	2
112	они в	2	2
113	выступает в	2	2
114	вслед за	4	2
115	вплоть до	2	2
116	той или	4	2
117	не могло	2	2
118	один из	3	2
119	не с	3	2
120	бы то	3	2
121	жизни и	3	2
122	то или	3	2
123	приводит к	2	2
124	отличается от	4	2
125	особенно в	3	2
126	не было	2	2
127	если не	4	2
128	этом отношении	3	2
129	те же	4	2
130	мы имеем	2	2
131	этой точки	2	2
132	и сейчас	2	2
133	одним из	2	2
134	наконец в	2	2
135	и на	3	2
136	сказать что	4	2
137	не в	14	2
138	совершенно иной	2	2
139	по своей	3	2
140	и после	2	2
141	и все	2	2
142	к которому	2	2
143	между тем	3	2
