N	2gram	Tiupa_Lite_1	Tvorches
1	у достоевского	2	30
2	и в	8	20
3	в году	13	16
4	не только	24	13
5	никогда не	4	11
6	как бы	7	11
7	в его	7	10
8	таким образом	3	10
9	в то	5	10
10	и его	4	9
11	и не	12	9
12	прежде всего	11	8
13	в том	16	8
14	при этом	19	8
15	но и	17	8
16	может быть	13	8
17	в этом	12	8
18	это не	4	7
19	же время	5	7
20	что в	3	7
21	не может	5	7
22	то же	5	7
23	потому что	3	7
24	xix века	6	7
25	у него	3	6
26	в конце	4	6
27	что он	5	6
28	как и	6	6
29	в целом	8	6
30	в своей	4	6
31	так и	4	6
32	а не	16	6
33	в мире	2	5
34	еще не	4	5
35	но не	4	5
36	читателя в	2	5
37	и сам	6	5
38	например в	3	5
39	все же	4	5
40	и даже	3	5
41	в этой	4	5
42	о том	2	5
43	то есть	6	5
44	в душе	3	4
45	том что	14	4
46	отнюдь не	2	4
47	творческого процесса	2	4
48	как в	5	4
49	все эти	2	4
50	тем самым	5	4
51	в принципе	3	4
52	не в	8	4
53	а в	3	4
54	но в	3	4
55	казалось бы	5	3
56	превращается в	2	3
57	с этой	5	3
58	человека и	2	3
59	отношению к	2	3
60	х годов	2	3
61	одна из	3	3
62	для него	2	3
63	что не	2	3
64	своего рода	11	3
65	в самом	3	3
66	xx века	2	3
67	и др	3	3
68	не является	2	3
69	один из	3	3
70	в нем	2	3
71	то что	10	3
72	в их	3	3
73	по отношению	3	3
74	тогда как	13	3
75	уже не	7	3
76	одним из	5	3
77	евгения онегина	2	3
78	тем что	2	3
79	в своих	4	3
80	в себе	7	3
81	его в	3	3
82	нет ничего	2	3
83	между тем	2	3
84	уже в	5	2
85	не менее	7	2
86	и есть	3	2
87	это уже	2	2
88	с другой	3	2
89	я не	7	2
90	во всяком	3	2
91	наш взгляд	5	2
92	в искусстве	2	2
93	что его	3	2
94	тому же	2	2
95	что я	2	2
96	на наш	5	2
97	xviii века	2	2
98	в частности	15	2
99	том же	3	2
100	всяком случае	2	2
101	себя в	6	2
102	по преимуществу	4	2
103	приводит к	3	2
104	в отличие	5	2
105	бы не	3	2
106	ли не	3	2
107	не было	3	2
108	сводится к	3	2
109	же году	3	2
110	самом деле	2	2
111	друг друга	4	2
112	воздействие на	2	2
113	во многих	2	2
114	роль в	2	2
115	не столько	5	2
116	не случайно	2	2
117	в основе	3	2
118	героя с	2	2
119	из них	4	2
120	могут быть	2	2
121	и м	2	2
122	и только	2	2
123	только в	8	2
124	как правило	2	2
125	в русской	10	2
126	в россии	2	2
127	эта мысль	2	2
128	отличие от	5	2
129	более не	2	2
130	классической литературы	3	2
