N	2gram	Tiupa_Narr_1	Problemy
1	и в	19	35
2	как бы	4	31
3	и не	20	27
4	что он	6	24
5	в его	9	21
6	но в	6	19
7	не может	10	18
8	к себе	5	18
9	как и	7	18
10	в нем	4	16
11	то есть	19	16
12	к другому	2	16
13	то же	4	15
14	и все	2	15
15	но и	23	14
16	для него	2	14
17	может быть	25	14
18	в сущности	3	14
19	и его	5	14
20	в этом	17	14
21	к нему	5	13
22	он не	3	13
23	прежде всего	4	12
24	и с	4	12
25	в пределах	2	11
26	в то	3	11
27	не в	14	10
28	самом деле	2	10
29	же время	4	10
30	не только	32	10
31	то что	11	10
32	героя и	4	10
33	так и	9	8
34	себя и	2	8
35	все же	7	8
36	как мы	3	8
37	и для	2	8
38	так же	2	7
39	а в	11	7
40	точки зрения	10	7
41	с его	6	7
42	еще не	7	7
43	отношению к	6	7
44	он сам	2	6
45	что в	3	6
46	к тому	7	6
47	что они	3	6
48	отношение к	2	6
49	что у	2	6
50	и на	3	6
51	но не	5	6
52	и т.п	8	6
53	по отношению	7	6
54	только в	4	6
55	себе самом	2	5
56	в том	18	5
57	да и	4	5
58	как к	2	5
59	и даже	3	5
60	этого слова	2	5
61	даже в	2	5
62	на него	3	5
63	к самому	2	5
64	как в	7	5
65	героя в	8	5
66	в себе	8	5
67	на протяжении	6	5
68	никогда не	3	4
69	с другой	8	4
70	та же	2	4
71	или иной	5	4
72	в мире	9	4
73	но все	4	4
74	не о	3	4
75	между тем	3	4
76	той или	4	4
77	но как	2	4
78	его в	2	4
79	у него	4	4
80	как раз	2	4
81	по себе	5	4
82	наконец в	2	4
83	нет и	2	4
84	в той	6	4
85	а не	12	4
86	что не	4	4
87	тем что	3	4
88	как будто	3	4
89	что это	3	4
90	же не	4	4
91	за собой	4	3
92	уже в	3	3
93	то ни	3	3
94	ни было	3	3
95	тому же	5	3
96	о своей	2	3
97	с человеком	2	3
98	героя из	2	3
99	которого он	2	3
100	с ее	3	3
101	бы то	3	3
102	из них	3	3
103	другой стороны	4	3
104	в форме	5	3
105	все эти	2	3
106	не мог	4	3
107	это не	2	3
108	сказать что	4	3
109	нуждается в	5	3
110	говорить о	2	3
111	рассказ в	2	3
112	не как	2	3
113	в ее	3	3
114	это и	3	3
115	том что	14	3
116	было бы	4	3
117	он уже	2	3
118	когда он	3	3
119	а с	3	3
120	сводится к	3	3
121	уже не	5	3
122	одного сознания	2	3
123	и т.д	7	3
124	ничего не	2	3
125	собой не	2	2
126	не менее	3	2
127	времени и	7	2
128	столь же	3	2
129	что на	2	2
130	ни в	3	2
131	обращает на	3	2
132	при этом	9	2
133	было в	2	2
134	например в	2	2
135	хотя и	3	2
136	мог бы	3	2
137	в своем	2	2
138	те же	4	2
139	особенно в	3	2
140	тому как	2	2
141	каждый из	2	2
142	в ней	3	2
143	по своей	3	2
144	о том	6	2
145	в первом	3	2
146	героя к	3	2
147	в произведении	3	2
148	однако в	2	2
149	будто бы	3	2
150	точек зрения	2	2
151	то в	6	2
152	была и	2	2
153	одной из	4	2
154	о нем	4	2
155	тогда в	2	2
156	себя в	5	2
157	своего рода	12	2
158	говорит о	2	2
159	приводит к	2	2
160	в отличие	5	2
161	бы не	2	2
162	со словами	2	2
163	и он	3	2
164	и как	5	2
165	хотя бы	4	2
166	с точки	2	2
167	без исключения	2	2
168	или в	2	2
169	можно было	2	2
170	в рассказе	4	2
171	не случайно	2	2
172	пока еще	4	2
173	между двумя	5	2
174	подобно тому	2	2
175	всей своей	2	2
176	отличие от	5	2
