N	2gram	Tiupa_Lite_2	formyVre
1	и в	19	46
2	в этом	9	22
3	прежде всего	4	14
4	и т	2	14
5	вовсе не	2	13
6	и его	3	12
7	не только	8	11
8	во всех	3	11
9	т п	2	11
10	в том	10	10
11	как бы	2	10
12	точки зрения	4	10
13	то есть	5	10
14	но в	2	10
15	у него	2	9
16	не в	4	9
17	вместе с	5	9
18	но и	10	9
19	и не	11	9
20	и для	3	9
21	как и	10	8
22	в его	4	8
23	жизни и	4	8
24	то же	12	8
25	для того	2	8
26	с точки	3	8
27	потому что	2	8
28	из них	2	8
29	в них	2	7
30	в одном	2	7
31	может быть	17	7
32	то что	7	7
33	так и	7	7
34	и на	6	7
35	никогда не	3	6
36	при этом	6	6
37	еще не	2	6
38	все же	2	6
39	человека в	4	6
40	и наконец	2	6
41	в основе	2	6
42	так как	3	6
43	и с	3	6
44	в частности	4	5
45	по существу	3	5
46	в то	9	5
47	но не	5	5
48	он не	5	5
49	и др	3	5
50	в нем	3	5
51	что в	4	5
52	уже в	2	4
53	отнюдь не	4	4
54	жизни в	4	4
55	с этой	2	4
56	же время	9	4
57	с ним	2	4
58	же в	2	4
59	том что	7	4
60	так что	4	4
61	в мире	9	4
62	а не	20	4
63	и он	3	4
64	в себе	6	4
65	в истории	2	4
66	о том	2	4
67	том числе	2	3
68	не было	2	3
69	себя и	2	3
70	не является	2	3
71	того же	4	3
72	что было	2	3
73	как уже	2	3
74	что он	3	3
75	а затем	2	3
76	и как	3	3
77	в качестве	5	3
78	для него	4	3
79	тот же	2	3
80	а также	2	3
81	что и	2	3
82	слова и	7	3
83	в их	3	3
84	уже не	2	3
85	того что	5	3
86	и даже	8	3
87	а в	3	3
88	тем что	4	3
89	в другом	3	3
90	в виду	2	3
91	мира в	2	3
92	на этом	2	2
93	с другой	8	2
94	и других	4	2
95	одном из	2	2
96	картина мира	2	2
97	у нас	5	2
98	в этой	3	2
99	перестает быть	3	2
100	сила и	2	2
101	с тем	2	2
102	все что	2	2
103	до конца	2	2
104	было бы	2	2
105	и к	2	2
106	жизни а	2	2
107	в сущности	3	2
108	вплоть до	3	2
109	наконец в	2	2
110	раньше и	2	2
111	если в	2	2
112	один из	4	2
113	этом случае	2	2
114	и до	2	2
115	и т.п	10	2
116	не может	9	2
117	и только	2	2
118	этом отношении	3	2
119	с одной	7	2
120	в себя	3	2
121	тем же	3	2
122	жизни как	2	2
123	как на	3	2
124	каждый из	4	2
125	в данном	3	2
126	но это	3	2
127	то в	2	2
128	могут быть	2	2
129	ту же	2	2
130	не знает	2	2
131	в поэзии	3	2
132	в конце	2	2
133	как он	2	2
134	как это	2	2
135	жизнь как	2	2
136	мыслится как	3	2
