N	2gram	Bakhtin_sl_2	VeschiIm
1	не может	20	33
2	не только	24	31
3	может быть	37	29
4	и не	22	28
5	и в	39	26
6	то что	2	24
7	и т	35	21
8	т д	2	20
9	а не	14	20
10	в смысле	4	15
11	только в	5	14
12	по себе	5	13
13	но и	21	12
14	сказать что	3	12
15	все же	6	12
16	в себя	2	12
17	таким образом	8	11
18	то же	4	10
19	уже не	5	10
20	в ней	3	10
21	как бы	7	10
22	в том	5	9
23	и с	9	9
24	прежде всего	8	9
25	себя и	4	8
26	но это	3	8
27	с ее	2	8
28	в себе	2	8
29	смысл и	2	8
30	смысла и	3	7
31	со своим	9	7
32	в свете	3	7
33	что оно	4	7
34	также и	2	7
35	говорить о	3	7
36	в то	4	7
37	его в	4	7
38	так как	4	7
39	если она	3	7
40	том что	5	7
41	себя в	8	7
42	если оно	2	7
43	и их	5	7
44	с другими	4	7
45	в этом	16	7
46	как с	2	7
47	и как	3	6
48	что в	3	6
49	для него	7	6
50	жизни и	6	6
51	отличается от	2	6
52	в результате	2	6
53	точки зрения	8	6
54	но в	6	6
55	она не	6	6
56	бы и	3	6
57	с ним	7	6
58	не менее	4	5
59	должна быть	3	5
60	ведь и	2	5
61	в отношении	4	5
62	это не	5	5
63	не в	9	5
64	свою очередь	2	5
65	еще не	7	5
66	из себя	3	5
67	для этого	4	5
68	только и	2	5
69	а в	4	5
70	как к	3	5
71	в свою	3	5
72	это и	2	5
73	одна из	4	5
74	но не	6	5
75	в сущности	6	5
76	и для	5	5
77	в чем	3	5
78	собственном смысле	3	4
79	в своем	6	4
80	с другой	5	4
81	независимо от	2	4
82	же время	4	4
83	точка зрения	2	4
84	в их	2	4
85	и даже	7	4
86	с этим	2	4
87	о том	2	4
88	и более	2	4
89	и все	5	4
90	как и	6	4
91	во всех	12	4
92	и потому	7	4
93	на почве	4	4
94	оно не	8	4
95	должен быть	2	4
96	что и	3	4
97	быть и	3	4
98	слово и	5	4
99	с точки	3	4
100	мы не	2	4
101	в данном	2	4
102	сама по	3	3
103	никогда не	7	3
104	в собственном	3	3
105	без всякого	2	3
106	и чисто	2	3
107	более или	2	3
108	на этом	3	3
109	как о	2	3
110	в нем	19	3
111	отношение к	4	3
112	все это	16	3
113	отношения к	4	3
114	но как	2	3
115	и ни	2	3
116	в чисто	3	3
117	тогда когда	2	3
118	или как	4	3
119	даже и	4	3
120	в одном	2	3
121	один из	5	3
122	что он	2	3
123	она может	2	3
124	к ней	2	3
125	вместе с	2	3
126	так и	15	3
127	или менее	2	3
128	в той	4	3
129	того чтобы	2	3
130	хотя бы	3	3
131	в основе	4	3
132	может не	2	2
133	его и	2	2
134	предмету и	2	2
135	человека и	3	2
136	ни в	4	2
137	но все	5	2
138	и нет	2	2
139	кроме того	2	2
140	мы уже	2	2
141	в сфере	2	2
142	но она	2	2
143	чем не	2	2
144	в слове	6	2
145	конечно и	2	2
146	в более	2	2
147	этого предмета	2	2
148	как это	3	2
149	оно может	2	2
150	то есть	26	2
151	на него	2	2
152	ни к	2	2
153	поэтому и	4	2
154	жизни в	2	2
155	них и	2	2
156	не с	3	2
157	себе как	2	2
158	как вещь	2	2
159	но оно	2	2
160	он не	2	2
161	как в	13	2
162	может и	2	2
163	еще более	2	2
164	как мы	7	2
165	самого же	2	2
166	можно говорить	2	2
167	для того	2	2
168	и его	33	2
169	той же	3	2
170	во всяком	3	2
171	степени и	2	2
172	ту же	3	2
173	отношении к	4	2
174	дело в	2	2
175	в особенности	3	2
176	не все	2	2
