N	3gram	Tiupa_Vved_1	TeoriaLi
1	по отношению к	7	8
2	в отличие от	2	7
3	то же время	3	6
4	в то же	4	6
5	в том что	3	6
6	в данном случае	6	5
7	присутствия в мире	2	5
8	не сводится к	4	5
9	состоит в том	2	4
10	более или менее	2	4
11	той или иной	2	3
12	в свою очередь	4	3
13	тем не менее	3	3
14	войне и мире	2	2
15	мы имеем дело	3	2
16	и тем самым	2	2
17	в соответствии с	6	2
18	по своей природе	2	2
19	в войне и	2	2
20	не может быть	3	2
21	мастера и маргариты	2	2
22	в нашем случае	2	2
23	с одной стороны	5	2
24	а с другой	2	2
25	как и в	2	2
