N	2gram	Vinokur_Vv_1	slovoVRo
1	и в	27	39
2	может быть	24	37
3	и т	43	35
4	и его	5	33
5	т п	5	33
6	не только	21	24
7	и не	13	22
8	но и	5	21
9	не может	13	20
10	в нем	13	19
11	до конца	3	17
12	все это	6	16
13	в этом	34	16
14	а не	3	14
15	отличие от	3	13
16	во всех	2	12
17	в отличие	3	12
18	в истории	9	11
19	вовсе не	6	10
20	не в	8	9
21	языков и	2	9
22	языка и	12	9
23	и с	2	9
24	прежде всего	8	8
25	себя в	2	8
26	таким образом	19	8
27	точки зрения	7	8
28	языков в	3	8
29	языка как	2	7
30	при этом	3	7
31	еще не	4	7
32	в его	10	7
33	как бы	5	7
34	никогда не	3	7
35	в этих	3	7
36	язык и	3	7
37	и даже	5	7
38	как мы	9	7
39	могут быть	4	7
40	в них	4	6
41	этом случае	6	6
42	все же	8	6
43	как и	5	6
44	в своем	3	6
45	языка в	4	6
46	но не	7	6
47	в сущности	3	6
48	жизни и	2	6
49	в значительной	2	6
50	все эти	3	6
51	но в	10	6
52	не могут	5	5
53	с другой	8	5
54	это не	8	5
55	и для	4	5
56	по себе	9	5
57	том что	26	5
58	но все	3	5
59	одной стороны	4	5
60	только в	13	5
61	в том	31	5
62	например в	2	5
63	один из	6	5
64	с одной	4	5
65	уже не	5	5
66	языка а	2	5
67	не менее	8	4
68	и др	2	4
69	отношению к	4	4
70	же время	5	4
71	одна из	2	4
72	на почве	5	4
73	сливается с	3	4
74	в отношении	2	4
75	по отношению	4	4
76	для этого	3	4
77	входит в	2	4
78	то же	8	4
79	что оно	2	4
80	и других	3	4
81	в той	7	4
82	а в	5	4
83	и на	3	4
84	дело с	6	4
85	даже и	3	4
86	в то	5	4
87	отношении к	2	4
88	отношение к	3	4
89	его в	6	4
90	здесь не	2	4
91	во всем	2	4
92	так как	13	4
93	или как	3	4
94	истории литературы	3	3
95	что в	11	3
96	хотя бы	5	3
97	не столько	2	3
98	должна быть	2	3
99	язык как	3	3
100	в собственном	2	3
101	стороны и	3	3
102	не с	2	3
103	сама по	3	3
104	что и	3	3
105	связи с	3	3
106	на этом	3	3
107	и как	9	3
108	с их	5	3
109	в ней	3	3
110	к нему	2	3
111	быть и	2	3
112	собственном смысле	2	3
113	бы и	2	3
114	этом отношении	3	3
115	а также	3	3
116	с точки	2	3
117	той же	4	3
118	рядом с	2	3
119	сказать что	5	3
120	между языком	2	3
121	между тем	8	3
122	говорить о	3	3
123	язык но	2	3
124	в особенности	4	3
125	в чем	4	3
126	как это	5	3
127	в чисто	4	3
128	во всяком	3	3
129	чем в	3	2
130	в данном	11	2
131	уже в	5	2
132	независимо от	3	2
133	ни к	2	2
134	хотя и	3	2
135	однако в	3	2
136	них и	2	2
137	на котором	2	2
138	того как	3	2
139	тогда когда	3	2
140	как например	5	2
141	как уже	2	2
142	только о	2	2
143	материал для	3	2
144	в себе	4	2
145	что он	4	2
146	в дальнейшем	2	2
147	на протяжении	2	2
148	имеет дело	5	2
149	в германии	3	2
150	как о	4	2
151	этих случаях	2	2
152	от характера	3	2
153	значение в	2	2
154	слова как	2	2
155	всяком случае	3	2
156	должен быть	4	2
157	сих пор	5	2
158	мы видели	2	2
159	то что	17	2
160	дело в	3	2
161	вместе с	6	2
162	в различных	2	2
163	а именно	6	2
164	в их	11	2
165	в форме	2	2
166	от действительности	2	2
167	в связи	2	2
168	с этим	2	2
169	т д	37	2
170	в виде	4	2
171	именно в	8	2
172	языка или	2	2
173	мы не	2	2
174	именно на	2	2
175	того чтобы	21	2
176	для того	21	2
177	одним из	5	2
178	также и	16	2
179	в результате	3	2
180	и при	2	2
181	в более	2	2
182	нуждается в	2	2
183	именно как	3	2
184	но как	2	2
185	в другом	3	2
186	единого и	2	2
187	в прошлом	2	2
188	о том	15	2
189	как он	6	2
190	только с	3	2
191	в области	4	2
192	в одном	4	2
193	до сих	5	2
