N	2gram	Berdyaev_N_1	Problema
1	и не	11	28
2	не только	5	24
3	в том	8	20
4	и в	16	20
5	ни в	6	17
6	все эти	2	16
7	смысле слова	3	15
8	то что	4	15
9	потому что	4	15
10	но и	3	14
11	не в	6	13
12	не есть	3	12
13	в себе	2	12
14	том что	2	12
15	прежде всего	4	11
16	как будто	2	11
17	не менее	4	10
18	так и	2	10
19	может быть	7	9
20	все это	5	9
21	и даже	2	9
22	в этом	7	9
23	и все	4	8
24	но в	2	8
25	значит что	4	8
26	с другой	3	7
27	это не	4	7
28	есть в	2	7
29	еще не	3	7
30	такого рода	2	7
31	мы не	2	7
32	и потому	4	7
33	а не	17	7
34	сказать что	3	7
35	и с	2	7
36	в ней	5	7
37	хотя бы	2	7
38	и от	2	6
39	как и	7	6
40	но это	6	6
41	по своему	4	6
42	другой стороны	2	6
43	не существует	3	5
44	но не	2	5
45	хотя и	2	5
46	в нем	5	5
47	в смысле	2	5
48	в ее	3	5
49	жизни и	8	5
50	вместе с	2	5
51	как в	3	5
52	так же	2	5
53	не может	16	5
54	в них	4	5
55	уже не	2	5
56	когда мы	2	5
57	о том	4	5
58	времени и	2	4
59	с тем	3	4
60	и есть	10	4
61	и для	4	4
62	это и	2	4
63	в своей	3	4
64	что она	2	4
65	не имеет	4	4
66	во всех	3	4
67	с этим	2	4
68	а в	2	4
69	можно было	2	4
70	в то	2	4
71	к тому	3	3
72	и весь	2	3
73	все они	2	3
74	в жизни	5	3
75	этом смысле	2	3
76	и к	5	3
77	это есть	7	3
78	в истории	3	3
79	конечно не	3	3
80	но она	2	3
81	что в	9	3
82	в новое	3	3
83	не было	4	3
84	и на	2	3
85	самой жизни	2	3
86	как это	2	3
87	все время	2	2
88	для этого	2	2
89	с его	6	2
90	нет и	2	2
91	на путях	2	2
92	за пределы	3	2
93	ни одна	2	2
94	том чтобы	2	2
95	он не	8	2
96	перестает быть	4	2
97	время как	2	2
98	не могли	2	2
99	с ее	5	2
100	себя в	2	2
101	не будет	7	2
102	не к	2	2
103	можно назвать	2	2
104	жизни в	3	2
105	и начала	2	2
106	и что	2	2
107	того чтобы	2	2
108	ни к	2	2
109	к преодолению	3	2
110	все категории	2	2
111	xix века	5	2
112	и это	2	2
113	это было	3	2
