N	2gram	Losev_Prob_5	Formalny
1	и в	30	24
2	в его	12	23
3	прежде всего	6	22
4	и не	12	20
5	так и	7	18
6	не может	5	16
7	точки зрения	10	16
8	в этом	17	15
9	в нем	6	14
10	может быть	7	14
11	с точки	8	13
12	таким образом	13	13
13	в своем	11	11
14	не менее	5	11
15	как и	7	11
16	в своей	22	11
17	вовсе не	8	10
18	в настоящее	3	10
19	и их	5	10
20	то же	2	10
21	в ней	3	10
22	а не	5	10
23	и его	6	10
24	настоящее время	3	10
25	в то	4	9
26	в ее	3	8
27	именно в	3	8
28	в свою	2	8
29	то что	18	8
30	как в	2	8
31	и на	6	8
32	не в	7	8
33	и с	5	8
34	не только	18	7
35	жизни и	2	7
36	но и	13	7
37	отнюдь не	4	6
38	и все	9	6
39	было бы	4	6
40	в том	12	6
41	в этой	10	6
42	самом деле	2	6
43	до сих	2	6
44	еще не	3	6
45	как бы	6	6
46	сих пор	2	6
47	а в	6	6
48	все эти	2	6
49	хотя бы	2	5
50	по себе	2	5
51	у нас	7	5
52	при этом	4	5
53	в самом	5	5
54	и до	2	5
55	как мы	2	5
56	того что	3	5
57	с другой	6	5
58	но в	9	5
59	в частности	4	4
60	никогда не	7	4
61	и к	4	4
62	учение о	3	4
63	одной стороны	3	4
64	конечно не	2	4
65	всяком случае	2	4
66	отношению к	2	4
67	так же	5	4
68	по отношению	2	4
69	в связи	7	4
70	что в	5	4
71	с одной	3	4
72	только и	3	4
73	в которой	5	4
74	с этой	2	4
75	во всяком	2	4
76	как о	4	4
77	но не	7	3
78	в отношении	3	3
79	связи с	7	3
80	в них	2	3
81	то ни	2	3
82	бы то	2	3
83	ясно что	4	3
84	что он	7	3
85	с помощью	2	3
86	к тому	2	3
87	и как	6	3
88	со всеми	2	3
89	но для	2	3
90	он не	3	3
91	если он	2	3
92	один из	2	3
93	все же	9	3
94	же в	3	3
95	отношение к	2	3
96	когда он	2	3
97	значение и	2	3
98	или же	2	3
99	мы не	2	3
100	и даже	14	3
101	его в	6	3
102	жизнь и	3	3
103	они не	2	3
104	в себе	4	3
105	со всей	2	3
106	здесь не	7	3
107	в области	2	3
108	нисколько не	5	2
109	всю свою	3	2
110	прежде чем	2	2
111	и более	2	2
112	с тем	5	2
113	жизни в	4	2
114	это не	2	2
115	в одном	3	2
116	в году	5	2
117	здесь в	2	2
118	все время	3	2
119	все в	3	2
120	ни в	4	2
121	в самой	3	2
122	нас не	3	2
123	уже не	6	2
124	по существу	2	2
125	но все	4	2
126	перейти к	3	2
127	только в	9	2
128	этот образ	2	2
129	в новое	3	2
130	как раз	5	2
131	и является	2	2
132	еще в	5	2
133	была бы	2	2
134	что и	6	2
135	на него	2	2
136	вместе с	7	2
137	он в	3	2
138	и что	6	2
139	раз и	2	2
140	в науке	2	2
141	не так	4	2
142	его не	2	2
143	в результате	7	2
144	между тем	2	2
145	от этого	3	2
146	даже и	4	2
147	на его	2	2
148	ничего не	2	2
149	с ним	3	2
150	как с	2	2
151	мира в	3	2
