N	3gram	Losev_Vesc_1	Myslijsy
1	в том что	4	16
2	только тогда когда	2	7
3	по крайней мере	4	5
4	и то же	4	5
5	сам по себе	3	5
6	одно и то	4	5
7	не есть ни	3	4
8	с другой стороны	2	4
9	не только в	4	4
10	может быть только	3	3
11	тем не менее	3	3
12	в свою очередь	4	3
13	и т д	19	3
14	с одной стороны	3	3
15	не может быть	6	3
16	для того чтобы	2	3
17	можно сказать что	3	2
18	в собственном смысле	2	2
19	к тому что	2	2
20	что только в	2	2
21	то что мы	2	2
22	не есть еще	2	2
23	в первом случае	2	2
24	как бы ни	2	2
25	сама по себе	3	2
26	то что я	2	2
27	не только не	2	2
28	подобно тому как	4	2
