N	2gram	Nazirov_Vr_1	Istorich
1	т е	3	29
2	что он	4	24
3	не только	9	18
4	может быть	4	17
5	никогда не	2	15
6	и в	8	15
7	но и	7	14
8	так же	4	13
9	что в	7	12
10	а в	2	12
11	то что	7	12
12	об этом	5	11
13	мы знаем	2	11
14	и не	5	11
15	в этом	8	11
16	его в	3	10
17	то же	5	10
18	еще не	2	9
19	все же	6	9
20	связи с	3	8
21	он не	3	8
22	том что	3	7
23	в нем	6	7
24	вместе с	2	7
25	таким образом	2	7
26	наряду с	3	6
27	в его	3	6
28	как бы	4	6
29	и что	8	6
30	в том	3	6
31	но в	6	6
32	же как	2	5
33	в котором	6	5
34	не может	2	5
35	в связи	3	5
36	в русской	3	5
37	его и	2	4
38	у него	5	4
39	для нас	4	4
40	но это	2	4
41	в этой	2	4
42	при этом	4	4
43	но он	3	4
44	в ней	4	4
45	о нем	6	4
46	после этого	2	4
47	и с	6	4
48	тем что	3	4
49	в себе	2	4
50	не мог	2	3
51	и его	3	3
52	на то	3	3
53	он был	3	3
54	в русских	2	3
55	о том	4	3
56	все это	4	3
57	так в	2	3
58	эти слова	3	3
59	и это	2	3
60	уже в	4	2
61	во время	2	2
62	я не	3	2
63	не было	5	2
64	это не	4	2
65	ко мне	2	2
66	к себе	2	2
67	что у	3	2
68	пришел к	2	2
69	как и	6	2
70	одна из	2	2
71	в нашей	2	2
72	а также	2	2
73	из них	2	2
74	а с	2	2
75	человека в	3	2
76	и то	2	2
77	и ее	2	2
78	его на	2	2
79	при помощи	2	2
80	их в	2	2
81	в него	2	2
82	в эту	2	2
83	в виду	4	2
