N	3gram	Losev_Prob_1	KulturaY
1	в том что	5	15
2	для того чтобы	8	15
3	и т д	10	14
4	с точки зрения	3	9
5	в самом деле	2	7
6	только потому что	2	6
7	с другой стороны	3	6
8	по крайней мере	2	5
9	о том что	5	5
10	во всяком случае	3	5
11	до сих пор	3	4
12	что же касается	3	4
13	тем не менее	18	4
14	можно было бы	2	3
15	о том как	2	3
16	более или менее	3	3
17	в связи с	4	3
18	не может быть	2	3
19	не потому что	2	3
20	в этом смысле	6	3
21	того или иного	2	3
22	и того же	2	2
23	одного и того	2	2
24	т д и	4	2
25	и в самом	2	2
26	и вовсе не	4	2
27	на то что	8	2
28	д и т	3	2
29	в то же	4	2
30	на самом деле	4	2
31	так или иначе	2	2
32	в этом случае	2	2
