N	2gram	Medvedev_U_1	Problemy
1	и в	14	46
2	и не	8	27
3	может быть	6	23
4	не может	7	19
5	в этом	7	16
6	не только	10	14
7	но и	4	12
8	как и	3	12
9	а не	10	11
10	не в	2	10
11	прежде всего	8	9
12	в том	2	9
13	в самом	2	9
14	в его	2	9
15	до сих	2	8
16	конечно не	4	8
17	сих пор	2	8
18	и с	2	7
19	по себе	2	7
20	как раз	2	7
21	в себе	2	7
22	но это	2	6
23	но в	3	6
24	что он	2	6
25	то же	5	6
26	все это	5	6
27	только в	2	6
28	это не	3	5
29	же время	3	5
30	в то	3	5
31	с его	2	5
32	в их	4	4
33	таким образом	2	4
34	мы не	2	4
35	превращается в	2	4
36	том что	2	4
37	но не	2	4
38	все же	3	4
39	то что	7	4
40	самом деле	2	4
41	с другой	4	3
42	не могут	2	3
43	мы и	2	3
44	одним из	2	3
45	и для	2	3
46	другой стороны	3	3
47	и только	5	3
48	в конце	2	3
49	если бы	2	3
50	не как	3	3
51	по существу	2	3
52	было бы	3	3
53	в своей	3	3
54	что и	2	3
55	тем что	2	3
56	в этой	4	3
57	и т.д	3	3
58	должна быть	2	2
59	для этого	3	2
60	для него	3	2
61	к области	2	2
62	меньшей степени	2	2
63	и является	2	2
64	в системе	2	2
65	установку на	2	2
66	именно как	2	2
67	что мы	2	2
68	в художественном	5	2
69	между тем	2	2
70	а как	2	2
71	этом смысле	2	2
72	но конечно	2	2
73	у нас	3	2
74	только к	3	2
75	бы и	2	2
76	и через	2	2
77	что такое	4	2
78	хотя бы	5	2
79	ничего не	2	2
80	могут быть	2	2
81	а между	2	2
