N	2gram	Vinokur_Ku_2	Freidism
1	таким образом	5	24
2	и не	16	23
3	не может	9	20
4	точки зрения	14	19
5	прежде всего	8	18
6	и пр	8	15
7	в этом	18	15
8	в его	5	15
9	с помощью	7	14
10	может быть	15	13
11	и его	3	12
12	как и	2	11
13	как бы	4	11
14	то что	9	11
15	все эти	12	11
16	с точки	8	11
17	и потому	2	10
18	так и	4	10
19	как мы	3	10
20	самом деле	9	10
21	но в	11	10
22	и в	23	9
23	что он	5	8
24	еще не	5	8
25	в своей	2	8
26	он не	3	8
27	не только	20	8
28	все это	5	8
29	то же	6	8
30	только в	5	8
31	и все	2	8
32	так как	15	8
33	мы знаем	4	7
34	ни в	4	7
35	тот же	5	7
36	к нему	2	7
37	во всяком	5	7
38	один из	5	7
39	мы видели	2	7
40	в самом	12	7
41	что же	5	7
42	те же	3	7
43	сказать что	4	7
44	всяком случае	5	7
45	никогда не	2	6
46	вовсе не	9	6
47	того что	3	6
48	в ней	3	6
49	совершенно не	3	6
50	хотя бы	9	6
51	и с	7	6
52	знаем что	3	5
53	в свою	2	5
54	можно сказать	4	5
55	не в	8	5
56	в этой	6	5
57	для этого	3	5
58	в то	4	5
59	что такое	3	5
60	что в	10	5
61	но и	7	5
62	на самом	2	5
63	для того	9	5
64	а в	3	5
65	и на	6	5
66	могут быть	4	5
67	с этим	3	5
68	в каком	4	5
69	мы должны	2	5
70	большинстве случаев	2	5
71	не менее	7	4
72	но не	6	4
73	я не	5	4
74	сознания и	2	4
75	в пределах	4	4
76	если мы	4	4
77	к тому	4	4
78	об этом	5	4
79	сводится к	3	4
80	всех этих	3	4
81	же время	3	4
82	на этом	3	4
83	смысле слова	2	4
84	связанные с	2	4
85	при этом	2	4
86	конечно не	2	4
87	и о	4	4
88	от того	4	4
89	как раз	3	4
90	в зависимости	4	4
91	в нем	4	4
92	все же	7	4
93	данном случае	2	4
94	это только	2	4
95	не было	4	4
96	уже не	8	4
97	того чтобы	11	4
98	и для	2	4
99	той же	2	4
100	с ними	2	4
101	характер и	2	4
102	в данном	4	4
103	этот вопрос	6	4
104	потому что	25	4
105	говорить о	4	4
106	зависимости от	5	4
107	не могут	5	3
108	нисколько не	3	3
109	главным образом	3	3
110	если бы	12	3
111	и есть	2	3
112	конечном счете	2	3
113	в них	4	3
114	и от	2	3
115	что все	5	3
116	первый период	2	3
117	в конечном	2	3
118	а только	3	3
119	но это	3	3
120	в узком	4	3
121	по поводу	2	3
122	она не	2	3
123	было бы	15	3
124	ни на	2	3
125	узком смысле	2	3
126	вместе с	5	3
127	со стороны	4	3
128	приводит к	5	3
129	не знает	3	3
130	как в	3	3
131	и вот	5	3
132	этой области	4	3
133	и что	8	3
134	свою очередь	2	3
135	на этот	2	3
136	и по	3	3
137	мы имеем	5	3
138	у него	3	3
139	слова и	5	3
140	в отношении	2	2
141	уже в	3	2
142	или иное	3	2
143	этого не	3	2
144	но все	4	2
145	что это	7	2
146	в нашем	7	2
147	что между	2	2
148	того же	3	2
149	с другой	8	2
150	это не	6	2
151	оно не	2	2
152	в конце	4	2
153	к этому	4	2
154	в одну	2	2
155	только о	2	2
156	таких случаях	2	2
157	тем не	6	2
158	для нас	4	2
159	до конца	3	2
160	да и	6	2
161	это и	3	2
162	том что	11	2
163	на этой	4	2
164	а не	10	2
165	в нашей	4	2
166	отсюда и	2	2
167	что мы	6	2
168	но для	3	2
169	в процессе	3	2
170	конце концов	3	2
171	в своем	2	2
172	и до	2	2
173	что значит	2	2
174	ответ на	2	2
175	только для	2	2
176	как не	3	2
177	выражение в	3	2
178	дело не	2	2
179	все они	2	2
180	что она	3	2
181	в их	2	2
182	отличается от	3	2
183	отношения к	2	2
184	которых мы	2	2
185	этом отношении	3	2
186	с одной	2	2
187	что оно	3	2
188	в отличие	2	2
189	чтобы не	2	2
190	речи мы	2	2
191	должны быть	2	2
192	и у	2	2
193	тем же	2	2
194	и даже	2	2
195	дает нам	2	2
196	за ними	2	2
197	так же	4	2
198	рядом с	2	2
199	отличие от	2	2
200	роль в	2	2
201	в таких	3	2
202	и то	5	2
203	то или	3	2
204	от этого	2	2
205	нуждается в	2	2
206	в своих	2	2
207	что и	3	2
208	в первый	3	2
209	в другом	2	2
210	и вообще	2	2
211	речи и	5	2
212	тех же	2	2
213	как это	5	2
214	в области	11	2
215	в виду	3	2
