N	3gram	Bakhtin_Pr_1	Formalny
1	не может быть	11	10
2	и т п	13	9
3	с точки зрения	6	7
4	в этом отношении	2	7
5	то же время	3	5
6	в самом деле	3	5
7	в то же	3	5
8	не могут быть	2	4
9	того или иного	2	4
10	в высшей степени	5	4
11	в большинстве случаев	5	3
12	и не может	2	3
13	с другой стороны	4	3
14	так и в	2	3
15	на самом деле	3	3
16	но и в	2	3
17	и в то	2	3
18	для того чтобы	2	3
19	в отличие от	5	2
20	ни в чем	2	2
21	на первый план	2	2
22	в какой мере	2	2
23	основных понятий и	2	2
24	не входит в	4	2
25	в применении к	3	2
26	и прежде всего	5	2
27	в этом смысле	3	2
28	русский формальный метод	2	2
29	в том что	3	2
30	не следует что	2	2
