N	2gram	Berdyaev_M_2	Istorich
1	т е	4	29
2	что он	7	24
3	не только	18	18
4	может быть	21	17
5	никогда не	18	15
6	и в	46	15
7	но и	15	14
8	так как	8	14
9	так же	6	13
10	что в	4	12
11	а в	2	12
12	то что	5	12
13	в этих	2	11
14	и не	18	11
15	в этом	20	11
16	что они	3	10
17	его в	3	10
18	то же	5	10
19	и здесь	6	9
20	потому что	12	9
21	связи с	2	8
22	мы увидим	2	8
23	один из	5	8
24	он не	10	8
25	мы видим	2	8
26	том что	4	7
27	в нем	22	7
28	вместе с	2	7
29	сих пор	3	7
30	не в	9	7
31	ничего не	2	7
32	связана с	7	6
33	так что	2	6
34	до сих	3	6
35	что это	6	6
36	в его	5	6
37	как бы	8	6
38	что и	4	6
39	и что	2	6
40	в том	3	6
41	только в	3	6
42	но в	10	6
43	и есть	8	5
44	прежде всего	12	5
45	к тому	5	5
46	как в	7	5
47	она не	8	5
48	же как	3	5
49	так и	4	5
50	что она	5	5
51	не может	15	5
52	а не	13	5
53	к нему	2	5
54	можно было	2	5
55	в русской	6	5
56	к которому	3	5
57	вопрос о	6	4
58	у него	22	4
59	но это	8	4
60	в этой	7	4
61	но он	11	4
62	в ней	11	4
63	того как	3	4
64	они не	4	4
65	и с	3	4
66	тем что	3	4
67	и на	3	4
68	в себе	10	4
69	не мог	3	3
70	и его	5	3
71	он был	9	3
72	и она	3	3
73	говорит что	2	3
74	привести к	5	3
75	же и	2	3
76	о том	3	3
77	отношению к	2	3
78	по отношению	2	3
79	после того	2	3
80	стоит в	2	3
81	того что	6	3
82	увидим что	2	3
83	тому как	2	3
84	он в	3	3
85	подобно тому	2	3
86	как будто	2	3
87	как он	3	3
88	и это	5	3
89	тот кто	5	2
90	уже в	2	2
91	я не	5	2
92	не было	11	2
93	они были	3	2
94	себя и	3	2
95	это не	5	2
96	не знал	3	2
97	но с	2	2
98	в жизни	4	2
99	к себе	2	2
100	не знает	9	2
101	что у	4	2
102	ни в	3	2
103	да и	2	2
104	как и	13	2
105	есть ли	2	2
106	есть и	3	2
107	не что	3	2
108	того чтобы	4	2
109	и если	2	2
110	на его	2	2
111	и для	7	2
112	в сущности	2	2
113	хотя бы	7	2
114	ее в	2	2
115	принадлежит к	2	2
116	во всех	2	2
117	той же	3	2
118	в разных	2	2
119	человека в	14	2
120	превращается в	2	2
121	к чему	4	2
122	его не	2	2
123	в русском	4	2
124	сказать что	3	2
125	к ней	2	2
126	что иное	3	2
127	его на	4	2
128	нет ничего	3	2
129	только с	3	2
130	в которой	2	2
131	иное как	3	2
