N	2gram	Propp_Isto_2	VrazhdaK
1	не только	18	9
2	в этом	11	8
3	и что	6	8
4	и в	15	8
5	но и	14	7
6	что в	12	7
7	то что	12	7
8	в котором	5	6
9	в нем	7	6
10	все же	9	6
11	как и	2	6
12	но в	6	6
13	и с	4	6
14	о нем	4	6
15	то же	10	5
16	не было	2	5
17	и не	11	5
18	у него	4	5
19	об этом	11	5
20	уже в	2	4
21	для нас	4	4
22	как бы	6	4
23	все это	3	4
24	это не	2	4
25	что он	24	4
26	так же	13	4
27	может быть	17	4
28	при этом	4	4
29	о том	3	4
30	в ней	4	4
31	в виду	2	4
32	я не	2	3
33	связи с	8	3
34	что у	2	3
35	эти слова	3	3
36	в связи	5	3
37	т е	29	3
38	человека в	2	3
39	на то	3	3
40	он был	3	3
41	в том	6	3
42	и его	3	3
43	том что	7	3
44	тем что	4	3
45	в его	6	3
46	в русской	5	3
47	его в	10	3
48	наряду с	6	3
49	но он	4	3
50	он не	8	3
51	а с	2	2
52	и это	3	2
53	после этого	4	2
54	из них	2	2
55	никогда не	15	2
56	вместе с	7	2
57	его и	4	2
58	так в	3	2
59	не может	5	2
60	а в	12	2
61	таким образом	7	2
62	но это	4	2
63	к себе	2	2
64	не мог	3	2
65	мы знаем	11	2
66	пришел к	2	2
67	в этой	4	2
68	и то	2	2
69	же как	5	2
70	их в	2	2
71	ко мне	2	2
72	и ее	2	2
73	в себе	4	2
74	в нашей	2	2
75	еще не	9	2
76	во время	2	2
77	его на	2	2
78	при помощи	2	2
79	одна из	2	2
80	в эту	2	2
81	а также	2	2
82	в него	2	2
83	в русских	3	2
