N	2gram	Bakhtin_Pr_1	Hudozhes
1	том что	3	16
2	и в	38	14
3	так и	5	13
4	а не	5	12
5	в том	8	12
6	не только	9	12
7	при этом	5	12
8	о том	4	12
9	прежде всего	13	11
10	и т	14	11
11	в этом	15	11
12	в себе	4	11
13	в своей	7	10
14	что он	2	9
15	как и	7	9
16	то же	5	9
17	как в	4	8
18	то что	8	8
19	же время	3	8
20	отношению к	19	8
21	по отношению	21	8
22	т п	13	8
23	между тем	7	8
24	в то	4	8
25	в его	43	8
26	ничего не	6	8
27	это не	5	7
28	не в	7	7
29	еще не	7	7
30	как бы	22	7
31	не может	27	7
32	а в	6	7
33	никогда не	5	6
34	что в	7	6
35	было бы	8	6
36	человека в	2	6
37	не менее	4	5
38	с его	2	5
39	в частности	2	5
40	в этих	2	5
41	к себе	2	5
42	может быть	26	5
43	только в	13	5
44	и он	2	5
45	но и	9	5
46	самом деле	6	5
47	и его	16	5
48	можно было	4	5
49	ни в	11	5
50	точки зрения	8	5
51	но в	4	5
52	связи с	2	4
53	в своем	5	4
54	столь же	2	4
55	и от	3	4
56	и все	3	4
57	на то	2	4
58	можно сказать	2	4
59	и к	3	4
60	а только	2	4
61	тем не	3	4
62	она не	2	4
63	несмотря на	3	4
64	в самом	7	4
65	и о	5	4
66	в ней	4	4
67	себя в	2	4
68	не было	2	4
69	того что	2	4
70	он не	3	4
71	и это	3	4
72	с ним	5	4
73	и с	17	4
74	но не	12	3
75	если бы	3	3
76	отнюдь не	19	3
77	в мире	3	3
78	как мы	7	3
79	в ее	4	3
80	как его	3	3
81	говорить о	3	3
82	от него	3	3
83	на этом	2	3
84	в пределах	6	3
85	не имеют	2	3
86	в нем	15	3
87	все же	6	3
88	приводит к	3	3
89	эстетический анализ	7	3
90	в связи	2	3
91	и для	11	3
92	этом отношении	2	3
93	все эти	5	3
94	лишь в	2	3
95	того чтобы	2	3
96	и даже	3	3
97	с точки	6	3
98	в таком	3	3
99	в своих	2	3
100	тем что	2	3
101	и на	3	3
102	как к	2	3
103	в равной	2	3
104	его в	9	3
105	едва ли	3	3
106	может и	4	3
107	том как	2	3
108	ни к	2	2
109	человек в	2	2
110	представляется нам	2	2
111	себя и	3	2
112	конечном счете	4	2
113	художественного восприятия	2	2
114	и потому	4	2
115	на фоне	3	2
116	в себя	2	2
117	ясно что	3	2
118	или иного	2	2
119	в конечном	4	2
120	к своему	2	2
121	не нужно	5	2
122	да и	3	2
123	в другом	2	2
124	этот момент	2	2
125	одна из	2	2
126	и что	2	2
127	в целом	3	2
128	одной из	3	2
129	например в	3	2
130	в начале	2	2
131	хотя и	3	2
132	в него	2	2
133	для нее	8	2
134	характера и	2	2
135	на него	3	2
136	в форме	4	2
137	в их	10	2
138	все это	3	2
139	особенно в	2	2
140	не знает	3	2
141	и не	42	2
142	но с	3	2
143	на самом	4	2
144	они не	3	2
145	в значительной	2	2
146	что не	4	2
147	того или	2	2
148	не имеет	9	2
149	должно быть	5	2
150	на основе	6	2
151	с ними	4	2
152	о котором	2	2
153	слова в	7	2
154	не следует	2	2
155	в художественном	20	2
156	но как	2	2
157	здесь не	4	2
158	к художественному	4	2
159	оно было	2	2
