N	2gram	Losev_Prob_5	KulturaY
1	в том	12	30
2	и в	30	24
3	потому что	13	23
4	том что	17	21
5	что в	5	17
6	того чтобы	2	17
7	для того	3	16
8	было бы	4	15
9	в этом	17	14
10	точки зрения	10	14
11	может быть	7	13
12	все же	9	12
13	таким образом	13	12
14	в его	12	12
15	и не	12	12
16	не в	7	11
17	только в	9	11
18	вовсе не	8	10
19	в силу	5	10
20	в самом	5	10
21	у нас	7	10
22	не только	18	10
23	хотя бы	2	10
24	то что	18	9
25	прежде всего	6	9
26	отношению к	2	9
27	самом деле	2	9
28	того что	3	9
29	с точки	8	9
30	о том	12	9
31	так как	6	9
32	по отношению	2	8
33	то же	2	8
34	уже не	6	8
35	а не	5	8
36	как раз	5	8
37	тем что	2	8
38	обстоятельство что	2	8
39	не менее	5	7
40	в них	2	7
41	с другой	6	7
42	связи с	7	7
43	в качестве	4	7
44	как бы	6	7
45	вместе с	7	7
46	не может	5	7
47	с помощью	2	7
48	это не	2	7
49	в области	2	7
50	так и	7	7
51	в какой	2	6
52	тогда когда	4	6
53	именно в	3	6
54	что он	7	6
55	при этом	4	6
56	в ней	3	6
57	но и	13	6
58	другой стороны	6	6
59	можно было	2	6
60	все эти	2	6
61	мы имеем	2	6
62	мере в	2	6
63	в которой	5	6
64	еще и	4	5
65	с тем	5	5
66	по крайней	4	5
67	к тому	2	5
68	крайней мере	4	5
69	но не	7	5
70	еще не	3	5
71	что не	2	5
72	всяком случае	2	5
73	и что	6	5
74	но уже	2	5
75	в виду	3	5
76	не просто	5	5
77	а в	6	5
78	и его	6	5
79	в результате	7	5
80	во всяком	2	5
81	между тем	2	5
82	с ним	3	5
83	и с	5	5
84	учение о	3	4
85	в частности	4	4
86	на то	2	4
87	в нем	6	4
88	же в	3	4
89	по существу	2	4
90	что они	3	4
91	есть в	2	4
92	того же	4	4
93	из них	2	4
94	в таких	2	4
95	один из	2	4
96	что и	6	4
97	тем не	5	4
98	сих пор	2	4
99	до сих	2	4
100	как в	2	4
101	и тогда	2	4
102	внимание на	3	4
103	того как	5	4
104	в самой	3	4
105	в науке	2	4
106	так что	11	4
107	так же	5	4
108	и на	6	4
109	в данном	2	4
110	и является	2	4
111	уже в	2	3
112	нисколько не	5	3
113	если не	4	3
114	уже и	2	3
115	ясно что	4	3
116	представление о	2	3
117	в духе	3	3
118	этом смысле	3	3
119	была бы	2	3
120	можно сказать	6	3
121	только тогда	3	3
122	ли не	2	3
123	в этой	10	3
124	в свою	2	3
125	гораздо более	4	3
126	но еще	2	3
127	в котором	2	3
128	на его	2	3
129	когда он	2	3
130	в своем	11	3
131	в связи	7	3
132	а с	4	3
133	только и	3	3
134	и даже	14	3
135	и он	4	3
136	в таком	2	3
137	несмотря на	6	3
138	и то	5	3
139	хотя и	8	3
140	даже и	4	3
141	они не	2	3
142	в себе	4	3
143	здесь не	7	3
144	в одном	3	3
145	не все	2	2
146	я не	2	2
147	и более	2	2
148	для них	3	2
149	никогда не	7	2
150	с этой	2	2
151	и все	9	2
152	что касается	3	2
153	на месте	2	2
154	не всегда	3	2
155	значение и	2	2
156	не могут	2	2
157	по себе	2	2
158	в смысле	4	2
159	в то	4	2
160	как о	4	2
161	для нас	10	2
162	что его	3	2
163	как и	7	2
164	и как	6	2
165	но все	4	2
166	тот же	3	2
167	в это	2	2
168	конечно не	2	2
169	в своей	22	2
170	обратить внимание	3	2
171	никак не	8	2
172	и тем	3	2
173	ее в	2	2
174	ни в	4	2
175	себя самого	2	2
176	а именно	12	2
177	то и	2	2
178	он не	3	2
179	и для	6	2
180	не мог	4	2
181	во втором	2	2
182	как именно	4	2
183	свидетельствует о	2	2
184	бы на	2	2
185	доказывает что	2	2
186	доказать что	2	2
187	или в	4	2
188	также и	12	2
189	иное как	3	2
190	от этого	3	2
191	как с	2	2
192	о котором	3	2
193	иной раз	2	2
194	ли в	2	2
195	здесь как	2	2
196	ничего не	2	2
197	но в	9	2
198	любви к	2	2
