N	2gram	Bakhtin_KF_1	Poddanst
1	не только	5	17
2	и в	24	14
3	и не	26	12
4	в области	2	11
5	в этом	14	10
6	то же	5	9
7	в том	6	9
8	в качестве	2	9
9	но в	5	9
10	хотя бы	4	8
11	же время	2	7
12	в то	3	7
13	только в	16	7
14	но и	9	6
15	в ней	3	6
16	в смысле	6	6
17	было бы	8	6
18	не в	12	5
19	и пр	3	5
20	отношении к	2	5
21	может быть	45	5
22	в котором	24	4
23	то что	7	4
24	что в	4	4
25	если бы	8	4
26	в своем	16	4
27	не может	27	4
28	по себе	2	4
29	а в	4	4
30	том что	4	4
31	как бы	9	4
32	и потому	2	4
33	в нем	28	3
34	с тем	2	3
35	это не	10	3
36	прежде всего	2	3
37	тем самым	4	3
38	для того	3	3
39	с точки	9	3
40	сводится к	2	3
41	мы не	3	3
42	и как	2	3
43	с ними	3	3
44	между тем	4	3
45	но не	12	3
46	могут быть	3	3
47	точки зрения	12	3
48	в себе	21	3
49	потому что	2	3
50	я и	2	3
51	не менее	3	2
52	и тем	3	2
53	в мире	6	2
54	именно в	5	2
55	и есть	9	2
56	во всех	11	2
57	отнюдь не	6	2
58	со стороны	7	2
59	все это	10	2
60	во всей	4	2
61	в жизни	2	2
62	еще более	2	2
63	думать что	2	2
64	и других	2	2
65	только это	2	2
66	а не	17	2
67	того что	3	2
68	к чему	3	2
69	должно быть	6	2
70	для нас	4	2
71	в ее	16	2
72	говорить о	2	2
73	в виде	2	2
74	не нужно	2	2
75	не было	8	2
76	и мы	2	2
77	и это	12	2
78	знать что	2	2
79	не о	2	2
80	в его	40	2
