N	2gram	Bakhtin_Fr_8	Russkaja
1	не может	2	22
2	и не	9	19
3	в том	13	17
4	в этом	14	17
5	и в	56	14
6	то что	3	13
7	таким образом	17	11
8	то же	11	11
9	точки зрения	6	11
10	же время	10	10
11	но и	9	10
12	в то	12	10
13	том что	8	9
14	не только	8	9
15	в себе	4	9
16	с точки	2	9
17	может быть	3	9
18	прежде всего	6	8
19	того чтобы	4	8
20	самом деле	2	7
21	в данном	2	7
22	о том	4	7
23	и с	8	7
24	если бы	2	6
25	на самом	2	6
26	что он	2	6
27	и к	4	6
28	и при	2	6
29	с тем	2	6
30	для него	2	6
31	для того	2	6
32	все это	8	6
33	в своем	3	6
34	и для	2	6
35	в своих	4	6
36	и на	7	5
37	при этом	4	5
38	до сих	8	5
39	было бы	2	5
40	конечно не	4	5
41	в своей	2	5
42	он не	5	5
43	никогда не	5	5
44	в нем	8	5
45	сих пор	8	5
46	во всех	8	5
47	из которых	2	5
48	а в	2	5
49	потому что	6	5
50	только в	9	5
51	между тем	3	5
52	но не	5	4
53	что в	5	4
54	то ни	2	4
55	в мире	2	4
56	как и	5	4
57	более или	2	4
58	как бы	11	4
59	себе и	2	4
60	все же	2	4
61	бы то	2	4
62	вместе с	2	4
63	или менее	2	4
64	в их	3	4
65	в совершенно	4	4
66	не в	3	4
67	и то	2	4
68	в этой	6	4
69	во всем	4	4
70	в его	18	4
71	и т.д	3	4
72	его в	2	4
73	так как	4	4
74	что это	4	3
75	в большинстве	7	3
76	что все	4	3
77	главным образом	3	3
78	был и	2	3
79	всех этих	3	3
80	и как	2	3
81	в другом	3	3
82	что они	2	3
83	в качестве	4	3
84	еще не	10	3
85	несмотря на	2	3
86	в самом	9	3
87	одной из	3	3
88	той или	2	3
89	и потому	4	3
90	что и	3	3
91	из них	2	3
92	все они	6	3
93	данном случае	2	3
94	не было	5	3
95	в значительной	2	3
96	что для	3	3
97	культуры в	2	3
98	и во	2	3
99	в виде	2	3
100	связи с	6	3
101	одна из	4	3
102	и более	4	2
103	в частности	7	2
104	у него	7	2
105	жизни своего	2	2
106	друг другу	2	2
107	не подлежит	3	2
108	взгляде на	2	2
109	так часто	2	2
110	это в	2	2
111	культуры и	2	2
112	ни в	2	2
113	уже не	3	2
114	так что	3	2
115	из всех	2	2
116	но это	2	2
117	в борьбе	2	2
118	есть и	5	2
119	вся эта	2	2
120	настоящее время	3	2
121	и о	3	2
122	в ней	4	2
123	в котором	2	2
124	в настоящее	3	2
125	благодаря этому	2	2
126	себя на	2	2
127	в некоторых	3	2
128	время в	3	2
129	целый ряд	2	2
130	все эти	15	2
131	не просто	3	2
132	только на	2	2
133	а не	2	2
134	и наконец	3	2
135	и даже	8	2
136	к нему	2	2
137	так же	2	2
138	в других	2	2
139	и те	2	2
140	людей и	2	2
141	в результате	5	2
142	ведь в	3	2
143	их в	4	2
144	мы уже	10	2
145	во время	5	2
146	на эту	3	2
147	в таких	3	2
148	в этих	11	2
149	большинстве случаев	6	2
150	с ним	2	2
151	отметить что	2	2
152	в области	5	2
153	но в	6	2
