N	2gram	Losev_Vlad_1	Literetu
1	не только	24	24
2	при этом	2	19
3	в качестве	6	17
4	но и	19	17
5	в том	11	16
6	в частности	2	15
7	том что	14	14
8	может быть	6	13
9	в году	30	13
10	и не	17	12
11	в этом	14	12
12	в своем	4	11
13	такого рода	4	10
14	то что	18	10
15	не в	5	8
16	в целом	3	8
17	и в	31	8
18	только в	9	8
19	как это	7	8
20	не менее	2	7
21	я не	4	7
22	в его	12	7
23	уже не	3	7
24	в себе	4	7
25	в жизни	3	6
26	и я	2	6
27	как и	4	6
28	и сам	6	6
29	себя в	4	6
30	того что	2	6
31	точки зрения	2	6
32	то есть	3	6
33	с его	11	5
34	что он	12	5
35	же время	4	5
36	а также	5	5
37	для себя	2	5
38	как в	3	5
39	не может	6	5
40	то же	6	5
41	уже в	7	5
42	тем самым	2	5
43	одним из	2	5
44	не столько	2	5
45	в то	8	5
46	в конце	9	4
47	но не	3	4
48	еще не	2	4
49	еще в	4	4
50	все же	3	4
51	из них	2	4
52	в своей	4	4
53	со стороны	2	4
54	так и	6	4
55	никогда не	9	4
56	в связи	3	4
57	лишь в	2	4
58	и его	7	4
59	как раз	7	4
60	в своих	5	4
61	в этой	4	4
62	не было	5	3
63	что в	14	3
64	с другой	3	3
65	да и	4	3
66	что его	4	3
67	в самом	2	3
68	несмотря на	4	3
69	не мог	3	3
70	у него	15	3
71	один из	4	3
72	жизни и	5	3
73	а в	9	3
74	таким образом	3	3
75	еще и	7	3
76	и даже	15	3
77	той же	2	3
78	потому что	11	3
79	во всяком	2	3
80	он и	6	3
81	к себе	2	3
82	но в	12	3
83	по своей	4	3
84	также и	10	3
85	дело в	4	3
86	тех же	2	3
87	во мне	2	2
88	на этом	2	2
89	по этому	2	2
90	отнюдь не	3	2
91	именно так	2	2
92	дело не	2	2
93	из этих	2	2
94	раз и	3	2
95	и весьма	2	2
96	вл соловьева	160	2
97	к тому	3	2
98	тем не	2	2
99	тому же	2	2
100	из его	4	2
101	что я	2	2
102	в москве	8	2
103	особого рода	2	2
104	к своей	2	2
105	того же	6	2
106	для него	7	2
107	своего времени	2	2
108	было бы	2	2
109	по поводу	12	2
110	за пределы	3	2
111	всяком случае	2	2
112	для нее	2	2
113	даже в	2	2
114	в нем	4	2
115	то он	6	2
116	только на	3	2
117	то и	2	2
118	для своего	2	2
119	все эти	3	2
120	что такое	2	2
121	хотя бы	2	2
122	что для	4	2
123	и то	10	2
124	тем более	2	2
125	тем что	2	2
126	и м	2	2
127	на себя	3	2
128	на это	2	2
129	о том	11	2
130	как он	4	2
131	в россии	4	2
