N	2gram	Propp_Morf_1	StatiiOP
1	и в	13	44
2	в том	6	36
3	и т	41	30
4	что в	8	30
5	том что	4	29
6	т д	39	21
7	в этом	14	21
8	вовсе не	4	19
9	то что	8	18
10	не только	4	18
11	было бы	3	17
12	а в	7	17
13	о том	2	17
14	и не	12	16
15	а не	11	16
16	т е	21	15
17	может быть	52	15
18	как в	3	13
19	можно было	2	13
20	не в	3	12
21	у нас	2	11
22	в этой	2	11
23	самом деле	4	11
24	того чтобы	3	11
25	точки зрения	2	11
26	ясно что	5	10
27	для того	2	10
28	что он	4	10
29	но и	4	10
30	но в	2	10
31	только в	2	10
32	с другой	8	9
33	если бы	2	9
34	в то	3	9
35	как и	3	9
36	того что	3	9
37	также и	4	9
38	так и	6	9
39	например в	2	8
40	во всех	4	8
41	все же	7	8
42	из них	3	8
43	не может	14	8
44	это не	6	8
45	с точки	2	8
46	прежде всего	9	7
47	так например	3	7
48	для нас	2	7
49	другой стороны	4	7
50	таким образом	21	7
51	сказать что	2	7
52	что они	2	7
53	потому что	3	6
54	но это	6	6
55	что и	7	6
56	со стороны	3	6
57	что же	2	6
58	на самом	4	6
59	во всяком	2	6
60	хотя бы	4	6
61	всяком случае	2	6
62	не менее	5	5
63	так же	3	5
64	что мы	2	5
65	в целом	3	5
66	вряд ли	2	5
67	то же	7	5
68	и по	2	5
69	в которых	2	5
70	тем что	4	5
71	могут быть	16	5
72	все эти	2	5
73	так как	16	5
74	там где	5	5
75	на вопрос	2	4
76	в основу	2	4
77	в частности	2	4
78	что она	2	4
79	вопрос о	7	4
80	это и	2	4
81	но все	3	4
82	и что	2	4
83	в качестве	5	4
84	никто не	3	4
85	но если	7	4
86	как бы	3	4
87	на то	2	4
88	дело не	2	4
89	в россии	2	4
90	даже не	3	4
91	д но	4	4
92	во втором	3	4
93	не имеет	2	4
94	этот вопрос	2	4
95	как будто	2	4
96	как это	3	4
97	в которой	3	4
98	не существует	3	3
99	а с	2	3
100	во время	6	3
101	вопрос в	2	3
102	тому что	4	3
103	в какой	3	3
104	не является	3	3
105	в тех	6	3
106	очень часто	6	3
107	об этом	4	3
108	в начале	3	3
109	то в	3	3
110	но не	4	3
111	а на	3	3
112	еще не	3	3
113	и для	2	3
114	не по	2	3
115	не значит	2	3
116	из двух	2	3
117	не все	6	3
118	и тем	2	3
119	то это	3	3
120	отношению к	4	3
121	и за	2	3
122	по отношению	4	3
123	в виде	2	3
124	значит что	3	3
125	в результате	7	3
126	в каком	2	3
127	в другом	2	3
128	без всякой	2	3
129	если это	3	3
130	между тем	5	3
131	с этим	11	3
132	иных случаях	2	2
133	такие случаи	2	2
134	совсем не	3	2
135	в этих	13	2
136	представляет собою	6	2
137	не всегда	9	2
138	что там	2	2
139	этом случае	8	2
140	по существу	12	2
141	это явление	4	2
142	быть и	2	2
143	случае не	3	2
144	то время	3	2
145	что при	2	2
146	она не	2	2
147	считаться с	2	2
148	несмотря на	4	2
149	в сущности	3	2
150	но для	2	2
151	а также	4	2
152	если в	5	2
153	тем не	5	2
154	в первом	3	2
155	можно назвать	3	2
156	на него	3	2
157	без всякого	2	2
158	и их	2	2
159	целый ряд	3	2
160	в свое	2	2
161	он должен	2	2
162	в других	3	2
163	мы не	8	2
164	ничего не	4	2
165	а то	3	2
166	он не	3	2
167	что эта	2	2
168	говорить о	3	2
169	его в	2	2
170	при помощи	9	2
171	в иных	4	2
172	к нему	3	2
173	или же	6	2
174	а если	4	2
175	мы имеем	9	2
176	время как	3	2
177	в числе	2	2
