N	2gram	Vygotskiy__6	VeschiIm
1	не может	19	33
2	не только	16	31
3	может быть	13	29
4	и не	11	28
5	и в	28	26
6	то что	28	24
7	а не	3	20
8	что я	2	16
9	и следовательно	4	15
10	только в	18	14
11	и что	6	13
12	того что	24	13
13	по себе	3	13
14	было бы	9	12
15	но и	10	12
16	сказать что	13	12
17	все же	2	12
18	в себя	3	12
19	и то	4	12
20	таким образом	18	11
21	а и	2	11
22	то же	7	10
23	как бы	11	10
24	потому что	22	10
25	что мы	11	10
26	что такое	3	10
27	в том	28	9
28	в самом	8	9
29	прежде всего	2	9
30	на то	4	8
31	но это	2	8
32	в себе	4	8
33	в свете	5	7
34	что оно	7	7
35	в то	6	7
36	его в	6	7
37	так как	10	7
38	том что	19	7
39	как раз	6	7
40	с другими	2	7
41	в этом	27	7
42	как с	2	7
43	так что	6	6
44	и как	6	6
45	это есть	3	6
46	что они	2	6
47	но что	4	6
48	что в	17	6
49	для него	6	6
50	но если	4	6
51	отличается от	3	6
52	и только	3	6
53	точки зрения	13	6
54	когда мы	6	6
55	но в	5	6
56	ясно что	4	6
57	необходимо чтобы	2	6
58	она не	2	6
59	относится к	4	6
60	если мы	2	6
61	с ним	2	6
62	можно было	7	6
63	не менее	2	5
64	в отношении	10	5
65	вообще не	6	5
66	это не	5	5
67	с этой	2	5
68	не в	4	5
69	еще не	8	5
70	для этого	2	5
71	а в	2	5
72	с тем	5	5
73	если бы	7	5
74	у нас	2	5
75	это и	3	5
76	но не	10	5
77	того же	7	5
78	в сущности	7	5
79	в чем	6	5
80	как только	2	4
81	я не	4	4
82	в своем	7	4
83	с другой	2	4
84	независимо от	3	4
85	только то	3	4
86	из них	2	4
87	в их	3	4
88	мы говорим	2	4
89	от того	10	4
90	с этим	4	4
91	и более	2	4
92	и все	5	4
93	как и	6	4
94	во всех	4	4
95	оно не	4	4
96	что и	4	4
97	этот вопрос	3	4
98	между ними	7	4
99	с точки	10	4
100	мы не	6	4
101	в данном	2	4
102	тем что	8	4
103	как понятие	2	4
104	и другое	2	3
105	никогда не	8	3
106	вещей как	3	3
107	вопрос о	5	3
108	что именно	2	3
109	можно сказать	6	3
110	к тому	10	3
111	несмотря на	2	3
112	с вещами	2	3
113	на этом	4	3
114	в нем	7	3
115	отношение к	7	3
116	все это	2	3
117	отношения к	3	3
118	можно только	2	3
119	но как	3	3
120	а это	3	3
121	мы имеем	4	3
122	тогда когда	6	3
123	к другому	4	3
124	но когда	2	3
125	в одном	2	3
126	в понятии	4	3
127	один из	3	3
128	что он	18	3
129	мы видим	7	3
130	если я	4	3
131	по самому	2	3
132	в своей	2	3
133	вместе с	7	3
134	так и	6	3
135	только на	2	3
136	из того	5	3
137	в той	4	3
138	самом деле	2	3
139	бы в	3	3
140	того чтобы	10	3
141	и вообще	2	3
142	в уме	2	3
143	как оно	3	3
144	в основе	3	3
145	на вопрос	2	2
146	казалось бы	2	2
147	в частности	4	2
148	тому что	11	2
149	именно потому	2	2
150	была бы	2	2
151	что на	4	2
152	а только	2	2
153	переход от	4	2
154	мог бы	3	2
155	мы уже	2	2
156	но совершенно	2	2
157	в сфере	12	2
158	себе что	2	2
159	может сделать	3	2
160	и тем	5	2
161	но только	2	2
162	в разных	5	2
163	оба эти	3	2
164	заключается в	7	2
165	во втором	3	2
166	первом случае	3	2
167	который мы	4	2
168	так же	15	2
169	не из	2	2
170	что то	3	2
171	в своих	3	2
172	в первом	4	2
173	как это	3	2
174	мы можем	9	2
175	от этого	3	2
176	если он	2	2
177	говорим что	2	2
178	не с	2	2
179	различие между	2	2
180	остановиться на	3	2
181	смысле что	2	2
182	то в	5	2
183	в силу	17	2
184	на этой	5	2
185	в качестве	4	2
186	невозможно было	2	2
187	себе и	2	2
188	он не	7	2
189	только к	3	2
190	когда он	2	2
191	как в	3	2
192	мысли и	2	2
193	приводит к	6	2
194	как мы	10	2
195	для того	8	2
196	и его	3	2
197	той же	4	2
198	моментов в	2	2
199	ту же	3	2
200	отношении к	3	2
201	том как	2	2
