N	2gram	Bakhtin_Pr_1	Sovremen
1	не может	11	17
2	точки зрения	21	12
3	может быть	21	12
4	таким образом	11	11
5	мы не	2	9
6	в каждом	8	8
7	в этом	25	7
8	и в	23	7
9	и не	34	6
10	как и	8	6
11	в результате	4	6
12	ничего не	6	6
13	прежде всего	7	5
14	все эти	8	5
15	и наконец	5	5
16	с точки	15	5
17	в условиях	2	5
18	как бы	28	4
19	в целом	4	4
20	жизни и	6	4
21	вместе с	2	4
22	в зависимости	3	4
23	это не	10	4
24	а в	7	4
25	вопрос о	4	4
26	не только	13	4
27	в том	11	4
28	их в	2	4
29	из них	2	4
30	точку зрения	4	4
31	мы должны	2	4
32	зависимости от	3	4
33	так как	7	4
34	уже в	5	3
35	самого начала	3	3
36	все же	5	3
37	он может	3	3
38	все это	7	3
39	отличается от	2	3
40	в конце	5	3
41	то же	10	3
42	в нем	20	3
43	а не	20	3
44	и к	4	3
45	для нас	3	3
46	с самого	2	3
47	не в	6	3
48	в этой	4	3
49	одна из	2	3
50	еще не	5	3
51	он в	2	3
52	при этом	3	3
53	было бы	6	3
54	в одном	9	3
55	и все	3	3
56	как он	2	3
57	в первом	2	3
58	в себе	5	3
59	в области	3	3
60	что она	2	3
61	но в	4	3
62	и потому	3	3
63	ведь это	2	3
64	так сказать	3	2
65	не могут	6	2
66	и есть	5	2
67	для его	3	2
68	у него	6	2
69	на котором	2	2
70	приводит к	3	2
71	то и	2	2
72	и во	2	2
73	в отличие	2	2
74	из этих	2	2
75	из одного	4	2
76	что все	3	2
77	говорить об	2	2
78	как мы	5	2
79	уже не	8	2
80	самом деле	5	2
81	роль в	2	2
82	из которых	2	2
83	на этот	2	2
84	и даже	3	2
85	и по	2	2
86	той же	6	2
87	то ни	3	2
88	мы видим	3	2
89	но все	4	2
90	во всяком	4	2
91	что в	8	2
92	не дает	3	2
93	говорить о	2	2
94	с другом	3	2
95	тот же	2	2
96	в один	2	2
97	если же	2	2
98	на его	2	2
99	в самом	8	2
100	друг с	3	2
101	в которой	4	2
102	отличие от	2	2
103	в его	24	2
104	всяком случае	3	2
