N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	41
2	таким образом	11	17
3	в нем	3	16
4	как мы	2	12
5	в этом	7	12
6	все это	3	11
7	все эти	5	11
8	прежде всего	5	10
9	в самом	2	10
10	не только	4	10
11	так как	4	10
12	и все	3	9
13	в этой	3	8
14	но в	3	8
15	у него	2	7
16	как бы	4	7
17	как и	6	7
18	что в	2	7
19	в его	2	7
20	мы видим	2	6
21	вместе с	4	6
22	с помощью	4	6
23	то же	3	5
24	в одном	3	5
25	из них	4	5
26	и что	2	5
27	той же	2	5
28	рот и	2	5
29	в себе	3	5
30	что это	2	5
31	уже в	3	4
32	роль в	2	4
33	у нас	3	4
34	не в	3	4
35	тот же	2	4
36	все же	3	4
37	не может	17	4
38	с одной	2	4
39	самом деле	2	4
40	и наконец	5	4
41	и даже	2	4
42	а в	4	4
43	в результате	6	4
44	в третьем	2	3
45	с этим	2	3
46	было бы	3	3
47	жизни и	4	3
48	при этом	3	3
49	и не	6	3
50	в первом	3	3
51	времени и	2	2
52	не могут	2	2
53	для его	2	2
54	ведь это	3	2
55	значение в	2	2
56	и во	2	2
57	в конце	3	2
58	что все	2	2
59	помощью которых	2	2
60	конечно в	2	2
61	если мы	4	2
62	для нас	3	2
63	в том	4	2
64	в дальнейшем	4	2
65	на этом	2	2
66	а на	2	2
67	как известно	2	2
68	со всеми	2	2
69	может быть	12	2
70	и потому	3	2
71	в развитии	4	2
72	мы видели	4	2
73	не будем	2	2
74	еще более	2	2
75	а не	3	2
76	дает нам	2	2
77	с точки	5	2
78	мы не	9	2
79	из четырех	2	2
80	их в	4	2
81	он в	3	2
82	точки зрения	12	2
83	на его	2	2
84	из этих	2	2
85	говорить о	2	2
86	состоит из	3	2
87	как он	3	2
88	так сказать	2	2
89	в области	3	2
