N	2gram	Bakhtin_Fr_7	NovoeSre
1	а не	2	17
2	не может	3	16
3	и в	41	16
4	нового времени	3	12
5	совсем не	3	12
6	и не	7	11
7	и есть	3	10
8	что в	9	9
9	в эпоху	7	9
10	жизни и	3	8
11	он не	4	8
12	в том	11	8
13	средние века	4	7
14	в новой	7	7
15	как и	14	7
16	в этом	15	7
17	к новому	2	7
18	может быть	4	7
19	с его	2	6
20	никогда не	2	6
21	не знает	3	6
22	не в	9	6
23	но это	3	6
24	ни в	6	6
25	должен быть	2	5
26	в нем	7	5
27	все это	10	5
28	с ее	3	5
29	и к	5	5
30	в ней	5	5
31	не только	5	5
32	то что	8	4
33	в них	7	4
34	это не	6	4
35	и все	14	4
36	не было	3	4
37	не имеет	3	4
38	и для	5	4
39	должно быть	4	4
40	потому что	5	4
41	по своему	2	4
42	прежде всего	11	4
43	о том	6	4
44	со всех	2	4
45	и потому	3	4
46	к жизни	4	3
47	но и	9	3
48	не есть	2	3
49	в средние	4	3
50	в своей	3	3
51	во всех	3	3
52	к тому	2	3
53	в мире	3	3
54	как в	5	3
55	еще не	2	3
56	это было	2	3
57	что все	2	2
58	я не	3	2
59	том и	2	2
60	все время	2	2
61	место в	4	2
62	у него	6	2
63	вместе с	5	2
64	от старого	2	2
65	все они	6	2
66	так и	10	2
67	и т.п	9	2
68	и от	8	2
69	а в	5	2
70	все эти	13	2
71	в одну	4	2
72	уже не	2	2
73	такой же	3	2
74	роль в	2	2
75	так же	5	2
76	по существу	8	2
77	мы не	2	2
78	том что	4	2
79	можно было	3	2
80	связаны с	2	2
81	есть в	6	2
82	одна из	4	2
83	и с	4	2
84	с этим	2	2
85	и на	4	2
86	в себе	11	2
87	в то	10	2
88	старый мир	2	2
89	и это	5	2
90	мира и	4	2
91	хотя и	4	2
92	но в	8	2
