N	2gram	Losev_Prob_2	Vvedenie
1	и т	6	42
2	т д	6	36
3	и в	35	32
4	в том	12	31
5	в этом	17	30
6	может быть	18	26
7	том что	19	26
8	не только	24	22
9	для того	3	21
10	того чтобы	2	20
11	таким образом	4	19
12	также и	12	18
13	то что	38	16
14	потому что	13	15
15	так как	7	15
16	не может	13	14
17	в самом	5	13
18	о том	18	13
19	того что	12	12
20	в общем	4	12
21	в их	3	12
22	и не	37	12
23	как на	2	12
24	представляет собой	2	12
25	в его	7	12
26	только в	14	12
27	как мы	5	11
28	что такое	18	11
29	ясно что	8	11
30	в данном	10	11
31	языка и	5	10
32	что в	11	10
33	но в	6	9
34	и как	4	9
35	в истории	3	9
36	этом смысле	5	9
37	по себе	8	9
38	то же	5	9
39	в той	2	9
40	не менее	13	8
41	с другой	6	8
42	а только	6	8
43	тем не	12	8
44	не в	2	8
45	прежде всего	11	7
46	вопрос о	3	7
47	точки зрения	2	7
48	о котором	3	7
49	уже и	3	7
50	но не	4	7
51	было бы	8	7
52	все же	8	7
53	как нечто	2	7
54	самом деле	4	7
55	можно было	5	7
56	только как	3	7
57	не могут	4	6
58	из этих	3	6
59	до сих	4	6
60	смысле слова	7	6
61	один из	3	6
62	но и	16	6
63	все это	4	6
64	и даже	11	6
65	в то	6	6
66	его в	3	6
67	с тем	3	6
68	представить себе	4	6
69	вовсе не	37	6
70	как и	5	6
71	в качестве	2	6
72	сих пор	4	6
73	а именно	6	6
74	хотя бы	12	6
75	тем что	4	6
76	и это	5	6
77	уже в	3	5
78	иное как	3	5
79	так что	11	5
80	но если	4	5
81	как бы	4	5
82	и тем	4	5
83	в целом	3	5
84	данном случае	5	5
85	другой стороны	5	5
86	сказать что	24	5
87	мере в	2	5
88	в них	2	5
89	об этом	2	5
90	по своему	5	5
91	или вообще	4	5
92	не есть	33	5
93	вместе с	2	5
94	а не	10	5
95	что не	5	5
96	независимо от	2	4
97	язык как	3	4
98	этом случае	7	4
99	как о	3	4
100	одной стороны	5	4
101	о чем	6	4
102	всяком случае	10	4
103	так или	6	4
104	еще и	5	4
105	с одной	5	4
106	не просто	11	4
107	и что	13	4
108	в и	2	4
109	не имеет	7	4
110	а в	4	4
111	даже и	18	4
112	что иное	3	4
113	но ведь	3	4
114	по крайней	6	4
115	что он	4	4
116	не что	3	4
117	еще не	10	4
118	крайней мере	6	4
119	внимание на	3	4
120	как раз	8	4
121	это только	3	4
122	в виде	6	4
123	уже не	8	4
124	и для	6	4
125	той же	2	4
126	или иначе	6	4
127	и то	10	4
128	во всяком	13	4
129	само по	2	4
130	и ее	2	4
131	в себе	5	4
132	только с	2	4
133	совсем не	7	3
134	он сам	3	3
135	сама по	4	3
136	и есть	4	3
137	в частности	5	3
138	в этих	4	3
139	вообще не	4	3
140	в конце	7	3
141	бы и	7	3
142	можно сказать	6	3
143	к тому	3	3
144	что может	2	3
145	да и	10	3
146	только по	2	3
147	но все	2	3
148	в этой	9	3
149	что с	2	3
150	при этом	3	3
151	такого рода	15	3
152	хотя и	3	3
153	в ней	2	3
154	именно как	4	3
155	не вполне	4	3
156	в виду	8	3
157	себе что	2	3
158	то это	3	3
159	к нему	2	3
160	на этой	2	3
161	на том	3	3
162	что она	4	3
163	в своем	4	3
164	язык и	2	3
165	все эти	7	3
166	этой области	3	3
167	заключается в	4	3
168	так же	5	3
169	и на	5	3
170	в результате	4	3
171	языка в	3	3
172	говорить о	10	3
173	при помощи	8	3
174	тогда когда	3	3
175	если бы	4	3
176	с понятием	2	3
177	стороны и	4	3
178	и к	3	3
179	связи с	5	3
180	а также	2	3
181	с историей	2	3
182	гораздо более	4	3
183	что и	2	3
184	что же	9	3
185	в в	2	3
186	в каком	4	3
187	и вообще	16	3
188	как будто	6	3
189	или как	2	3
190	в области	6	3
191	как только	3	2
192	до наших	2	2
193	будет в	2	2
194	казалось бы	7	2
195	тому что	3	2
196	для этого	3	2
197	в отношении	4	2
198	точно так	3	2
199	это в	2	2
200	или иной	5	2
201	не нужно	3	2
202	но зато	2	2
203	оказалось что	2	2
204	но это	6	2
205	что если	4	2
206	и сам	2	2
207	несмотря на	3	2
208	и той	4	2
209	значительной мере	3	2
210	и др	2	2
211	говоря уже	4	2
212	значение в	4	2
213	не говоря	4	2
214	нами не	4	2
215	вообще и	2	2
216	в связи	5	2
217	мы говорим	4	2
218	не было	3	2
219	о них	2	2
220	этого термина	8	2
221	есть только	8	2
222	должно быть	2	2
223	каждый из	2	2
224	и с	10	2
225	с этим	5	2
226	той или	5	2
227	и здесь	4	2
228	же самое	6	2
229	конце концов	7	2
230	когда мы	6	2
231	бы в	3	2
232	так и	7	2
233	по содержанию	2	2
234	не существует	6	2
235	для них	3	2
236	по этому	3	2
237	и представить	2	2
238	языка а	2	2
239	значение и	8	2
240	есть не	6	2
241	о которых	3	2
242	у нас	18	2
243	время не	2	2
244	и при	2	2
245	тем более	10	2
246	учение о	2	2
247	во всех	2	2
248	что мы	14	2
249	мы должны	3	2
250	мы уже	3	2
251	себе и	2	2
252	ни с	2	2
253	но уже	5	2
254	быть и	2	2
255	мысли и	2	2
256	только на	9	2
257	в языке	15	2
258	входит в	2	2
259	этому поводу	2	2
260	одной и	2	2
261	в значительной	3	2
262	из которых	2	2
263	самое же	2	2
264	мы не	7	2
265	тому как	3	2
266	мы можем	6	2
267	подобно тому	2	2
268	будто бы	5	2
269	если же	3	2
270	иной раз	3	2
271	здесь не	2	2
272	идет речь	2	2
273	одна из	3	2
274	ничего не	10	2
275	если это	2	2
