N	2gram	Medvedev_U_1	Myshleni
1	в том	2	28
2	и в	14	28
3	то что	7	28
4	в этом	7	27
5	не может	7	19
6	том что	2	19
7	таким образом	2	18
8	что он	2	18
9	только в	2	18
10	не только	10	16
11	может быть	6	13
12	и не	8	11
13	что мы	2	11
14	но и	4	10
15	но не	2	10
16	могли бы	2	9
17	было бы	3	9
18	в самом	2	8
19	тем что	2	8
20	если бы	2	7
21	то же	5	7
22	для него	3	6
23	в то	3	6
24	же самое	2	6
25	как и	3	6
26	как раз	2	6
27	мы не	2	6
28	в области	3	6
29	не могут	2	5
30	это не	3	5
31	но в	3	5
32	что все	2	5
33	думается что	2	5
34	могут быть	2	5
35	в этой	4	5
36	в частности	3	4
37	не в	2	4
38	мы и	2	4
39	что и	2	4
40	и то	3	4
41	в себе	2	4
42	очевидно что	3	3
43	в их	4	3
44	и только	5	3
45	этом отношении	2	3
46	в системе	2	3
47	с его	2	3
48	по себе	2	3
49	до сих	2	3
50	в его	2	3
51	только к	3	3
52	сих пор	2	3
53	а не	10	3
54	что такое	4	3
55	и т.д	3	3
56	для этого	3	2
57	с другой	4	2
58	в конце	2	2
59	прежде всего	8	2
60	но это	2	2
61	самом деле	2	2
62	одним из	2	2
63	и является	2	2
64	все это	5	2
65	другой стороны	3	2
66	этой области	3	2
67	для всех	2	2
68	этом смысле	2	2
69	у нас	3	2
70	по существу	2	2
71	в своей	3	2
72	все же	3	2
73	вот почему	7	2
74	нас в	2	2
