N	3gram	Savitsky_E_1	Vvedenie
1	для того чтобы	5	20
2	в том что	6	12
3	не может быть	2	8
4	в этом смысле	3	8
5	то же время	14	6
6	в то же	15	6
7	в применении к	3	6
8	с другой стороны	2	5
9	с течением времени	2	5
10	в данном случае	2	4
11	не только в	4	4
12	с одной стороны	8	4
13	можно было бы	3	4
14	по сравнению с	2	4
15	само по себе	4	4
16	в этом отношении	3	4
17	и в этом	4	4
18	во всяком случае	3	4
19	одной стороны и	6	3
20	можно сказать что	3	3
21	как мы видели	2	3
22	но в то	2	3
23	в известном смысле	3	3
24	заключается в том	2	3
25	и со стороны	2	2
26	той или иной	4	2
27	с точки зрения	16	2
28	во второй половине	2	2
29	не говоря уже	2	2
30	хотя бы и	3	2
