N	3gram	Bakhtin_Pr_1	Narrotol
1	в том что	3	8
2	с одной стороны	3	7
3	по отношению к	19	6
4	в отличие от	5	5
5	не может быть	11	5
6	можно сказать что	2	4
7	той или иной	2	4
8	в данном случае	4	4
9	в основе своей	3	4
10	с другой стороны	4	4
11	то ни было	2	3
12	то же время	3	3
13	бы то ни	3	3
14	в этом отношении	2	3
15	и тем самым	2	3
16	в то же	3	3
17	тем не менее	3	3
18	то или иное	2	2
19	мы имеем дело	2	2
20	в конечном счете	4	2
21	не только в	2	2
22	с точки зрения	6	2
23	можно было бы	3	2
24	того или иного	2	2
