N	2gram	Bakhtin_Pr_1	Morfolog
1	может быть	21	52
2	таким образом	11	20
3	не может	11	17
4	в этих	2	16
5	и в	23	13
6	в этом	25	13
7	эта форма	2	13
8	так как	7	12
9	перед нами	4	11
10	мы видим	3	11
11	заметить что	2	10
12	прежде всего	7	9
13	так и	10	9
14	то же	10	9
15	и не	34	9
16	а не	20	9
17	с другой	2	8
18	по существу	4	8
19	что и	5	8
20	в результате	4	8
21	вопрос о	4	7
22	и этим	2	7
23	все же	5	7
24	это не	10	6
25	не могут	6	6
26	и здесь	3	6
27	в том	11	6
28	но не	8	6
29	в форме	6	6
30	а в	7	6
31	подобно тому	3	6
32	тому как	3	5
33	и другие	2	5
34	то перед	2	5
35	во всех	5	5
36	как бы	28	5
37	один из	2	5
38	то что	18	5
39	потому что	12	5
40	мы не	2	5
41	что в	8	4
42	и как	8	4
43	на котором	2	4
44	вовсе не	8	4
45	героя в	4	4
46	отношению к	11	4
47	было бы	6	4
48	на его	2	4
49	несмотря на	6	4
50	не только	13	4
51	как в	6	4
52	как мы	5	4
53	другой стороны	2	4
54	так же	6	4
55	по отношению	11	4
56	как и	8	4
57	там где	6	4
58	на пути	2	4
59	героя а	4	4
60	тем что	3	4
61	точки зрения	21	4
62	с точки	15	4
63	его в	4	4
64	ничего не	6	4
65	сам он	3	3
66	если бы	10	3
67	и вызывает	2	3
68	же в	2	3
69	для героя	2	3
70	том что	9	3
71	но все	4	3
72	но это	5	3
73	в целом	4	3
74	кроме того	3	3
75	в пределах	9	3
76	того чтобы	4	3
77	в сущности	5	3
78	он не	4	3
79	как таковые	2	3
80	в первом	2	3
81	ни в	3	3
82	но и	11	3
83	на него	2	3
84	от того	2	3
85	входит в	2	3
86	на самом	4	3
87	самом деле	5	3
88	из которых	2	3
89	и по	2	3
90	к нему	3	3
91	и для	3	3
92	друг друга	3	3
93	из них	2	3
94	в то	10	3
95	мы должны	2	3
96	в один	2	3
97	если же	2	3
98	героя и	5	3
99	но в	4	3
100	однако в	2	2
101	хотя бы	2	2
102	чтобы его	2	2
103	точно так	2	2
104	к этому	2	2
105	у ивана	2	2
106	что он	10	2
107	можно сказать	2	2
108	и к	4	2
109	из его	3	2
110	только в	8	2
111	в большинстве	2	2
112	то время	2	2
113	для него	15	2
114	мы уже	2	2
115	но для	2	2
116	не значит	2	2
117	себя и	2	2
118	ни одной	2	2
119	оно не	2	2
120	себя в	3	2
121	благодаря этому	2	2
122	но эти	2	2
123	как например	2	2
124	все эти	8	2
125	к себе	2	2
126	того что	2	2
127	для того	2	2
128	уже не	8	2
129	заставляет его	2	2
130	и его	13	2
131	как их	3	2
132	можно было	3	2
133	этот вопрос	2	2
134	о том	2	2
135	большинстве случаев	2	2
136	одна из	2	2
137	сказать что	5	2
