N	2gram	Bakhtin_Pr_2	Myshleni
1	в процессе	2	27
2	и в	45	25
3	в развитии	2	24
4	в том	8	23
5	на основе	2	22
6	том что	7	20
7	что в	6	17
8	так же	5	17
9	таким образом	11	17
10	в основе	2	16
11	как и	14	15
12	то что	5	15
13	в его	22	15
14	в этом	20	14
15	может быть	18	13
16	в целом	5	13
17	так как	5	12
18	перед нами	4	10
19	что они	3	10
20	как бы	15	10
21	и не	42	10
22	и что	2	10
23	того что	3	10
24	было бы	4	10
25	что и	5	10
26	только в	9	10
27	как в	4	9
28	ни в	2	9
29	не является	3	8
30	тем что	2	8
31	как мы	8	8
32	уже в	4	7
33	все эти	4	7
34	как это	2	7
35	по себе	8	7
36	мы можем	4	7
37	в области	2	7
38	не менее	2	6
39	не в	8	6
40	же как	4	6
41	и у	2	6
42	один из	2	6
43	мы видели	3	6
44	не может	24	6
45	и на	7	6
46	потому что	8	6
47	мы должны	4	6
48	что он	7	6
49	зависимости от	3	6
50	но не	6	6
51	не только	16	6
52	все же	4	6
53	точки зрения	19	6
54	все это	5	6
55	можно было	2	6
56	так и	3	5
57	именно в	3	5
58	которую мы	2	5
59	и как	2	5
60	но это	2	5
61	для него	9	5
62	при этом	2	5
63	друг с	2	5
64	одним из	3	5
65	что она	4	5
66	уже говорили	2	5
67	и по	2	5
68	с ее	3	5
69	человека и	2	5
70	если бы	2	5
71	в зависимости	3	5
72	мы уже	3	5
73	и к	2	5
74	о том	3	5
75	входит в	9	5
76	из которых	2	5
77	могут быть	4	5
78	и т.д	3	5
79	с другом	2	5
80	никогда не	17	4
81	в своем	5	4
82	прежде всего	11	4
83	на то	2	4
84	в смысле	2	4
85	смысле этого	2	4
86	из них	9	4
87	но и	15	4
88	от того	2	4
89	друг друга	7	4
90	а в	3	4
91	сказать что	5	4
92	в то	5	4
93	с ним	8	4
94	которая не	2	4
95	мы имеем	2	4
96	одного и	2	4
97	еще не	9	4
98	он не	9	4
99	по сравнению	2	4
100	этого слова	2	4
101	там где	6	4
102	ни один	3	4
103	но на	2	3
104	формы в	2	3
105	своего развития	2	3
106	и сам	3	3
107	в самом	13	3
108	в котором	7	3
109	и их	6	3
110	по отношению	8	3
111	но только	2	3
112	с ними	4	3
113	этом отношении	2	3
114	в результате	3	3
115	их в	7	3
116	его в	3	3
117	перед ним	2	3
118	как он	4	3
119	с которыми	2	3
120	были бы	2	3
121	сравнению с	2	3
122	не как	6	3
123	в жизни	3	3
124	к этому	4	3
125	но как	2	3
126	мы видим	2	3
127	или иной	3	3
128	эта форма	2	3
129	не есть	2	3
130	связь с	2	3
131	им в	4	3
132	а с	3	3
133	и слово	6	3
134	между ними	4	3
135	этот вопрос	4	3
136	ничего общего	2	3
137	которые в	2	3
138	того как	3	3
139	слова в	4	2
140	то же	5	2
141	все время	3	2
142	в этих	4	2
143	все они	4	2
144	и одновременно	2	2
145	и от	3	2
146	этой точки	2	2
147	со всей	2	2
148	так что	2	2
149	но все	4	2
150	мы и	3	2
151	и той	3	2
152	хотя и	2	2
153	той или	3	2
154	в сфере	2	2
155	в нем	20	2
156	нее в	2	2
157	для этого	3	2
158	и других	3	2
159	должно быть	4	2
160	и другими	2	2
161	как на	2	2
162	в своих	4	2
163	на его	5	2
164	и здесь	2	2
165	в начале	2	2
166	совершенно так	2	2
167	зрения на	5	2
168	бы быть	2	2
169	бы в	5	2
170	лишь на	2	2
171	в чисто	2	2
172	с его	8	2
173	само по	2	2
174	вступают в	2	2
175	в них	4	2
176	в одном	6	2
177	этом смысле	5	2
178	конечно в	2	2
179	и могут	2	2
180	таким же	2	2
181	об этом	3	2
182	мы остановимся	2	2
183	в таком	3	2
184	одна из	3	2
185	все что	3	2
186	есть и	3	2
187	с их	4	2
188	тот же	2	2
189	и потому	6	2
190	основе и	2	2
191	и особенно	2	2
192	отношению к	8	2
193	в мире	3	2
194	в своей	6	2
195	находится в	2	2
196	только что	2	2
197	нами в	4	2
198	уже не	6	2
199	тем самым	2	2
200	и эта	3	2
201	и для	2	2
202	и его	8	2
203	или в	2	2
204	с другими	7	2
205	тому как	2	2
206	связан с	2	2
207	вступает в	4	2
208	в себе	5	2
209	в чем	2	2
210	а как	4	2
