N	2gram	Tiupa_Hudo_1	Komedia
1	и в	14	26
2	и не	2	14
3	едва ли	3	14
4	к тому	7	12
5	так и	13	12
6	и его	5	12
7	в том	12	11
8	может быть	5	11
9	но и	5	10
10	в этом	11	10
11	что в	6	9
12	столь же	4	9
13	том что	16	9
14	если бы	3	9
15	ясно что	2	8
16	было бы	6	8
17	и на	3	7
18	из них	4	7
19	не только	12	7
20	в своем	4	6
21	то что	8	6
22	еще не	7	6
23	в нем	3	6
24	того чтобы	3	6
25	потому что	5	6
26	в то	8	6
27	о том	12	6
28	с его	5	5
29	что он	9	5
30	в качестве	9	5
31	один из	4	5
32	ни в	5	5
33	с этим	3	5
34	так что	2	5
35	и с	4	5
36	действующих лиц	2	5
37	не менее	5	4
38	в частности	5	4
39	у него	9	4
40	в этих	5	4
41	тому что	4	4
42	что у	3	4
43	и от	4	4
44	прежде всего	11	4
45	как мы	3	4
46	же в	3	4
47	как и	9	4
48	в целом	2	4
49	как будто	4	4
50	одной из	2	4
51	хотя и	2	4
52	в его	8	4
53	еще в	3	4
54	все же	3	4
55	в самом	4	4
56	и для	3	4
57	можно было	5	4
58	точки зрения	5	4
59	с и	2	4
60	в начале	2	4
61	только в	5	4
62	по адресу	2	4
63	его в	3	4
64	между тем	8	4
65	так или	2	3
66	с этой	2	3
67	вопрос о	2	3
68	что на	2	3
69	мы знаем	2	3
70	жизни и	5	3
71	отношению к	8	3
72	связи с	4	3
73	но не	3	3
74	же время	8	3
75	первую очередь	2	3
76	например в	2	3
77	в первую	2	3
78	интерес к	5	3
79	как правило	6	3
80	да и	2	3
81	в ней	4	3
82	речь идет	3	3
83	не имеет	2	3
84	себя в	4	3
85	в своей	10	3
86	в их	2	3
87	все это	2	3
88	по отношению	8	3
89	в связи	3	3
90	той же	2	3
91	то же	9	3
92	не было	4	3
93	как в	8	3
94	друг друга	5	3
95	а в	7	3
96	или иначе	2	3
97	человека в	6	3
98	тем что	3	3
99	не может	7	3
100	как он	2	3
101	в этой	8	3
102	но в	5	3
103	и поэтому	2	3
104	в ответ	2	2
105	если в	2	2
106	отнюдь не	3	2
107	однако в	2	2
108	см т	2	2
109	в лице	3	2
110	это не	7	2
111	в одной	2	2
112	в конце	4	2
113	в духе	4	2
114	в следующем	2	2
115	и к	4	2
116	об этом	5	2
117	в ее	3	2
118	идет о	3	2
119	не в	7	2
120	художественного мышления	6	2
121	жизни так	2	2
122	до сих	2	2
123	одна из	2	2
124	на этом	3	2
125	по своему	3	2
126	только потому	2	2
127	своего времени	3	2
128	у нее	2	2
129	в это	2	2
130	в действительности	4	2
131	он не	4	2
132	в театре	3	2
133	как бы	7	2
134	даже в	3	2
135	и т	11	2
136	с той	2	2
137	и это	4	2
138	в мире	3	2
139	сих пор	2	2
140	со стороны	3	2
141	что она	4	2
142	также в	2	2
143	в изображении	2	2
144	так в	2	2
145	т п	8	2
146	и что	2	2
147	мы не	2	2
148	в глазах	6	2
149	с ними	2	2
150	не следует	2	2
151	говорить о	3	2
152	впрочем и	2	2
153	и все	4	2
