N	3gram	Potebnia_M_4	StatiiOP
1	и т д	3	21
2	в том что	7	17
3	о том что	5	11
4	для того чтобы	4	10
5	и т п	4	9
6	с точки зрения	3	8
7	до сих пор	4	7
8	в данном случае	2	6
9	на самом деле	3	6
10	во всяком случае	3	6
11	не может быть	5	5
12	то же время	3	4
13	в то же	3	4
14	на то что	4	4
15	что и в	2	4
16	и в этом	4	3
17	только в том	2	3
18	это не значит	2	3
19	по отношению к	8	3
20	в том смысле	2	2
21	тем не менее	4	2
22	в этом случае	5	2
23	и в том	2	2
24	хотя бы и	2	2
25	по крайней мере	5	2
26	то что в	2	2
27	и то что	4	2
28	не в том	2	2
29	вопрос о том	2	2
30	так или иначе	2	2
