N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	41
2	в нем	10	16
3	и с	2	16
4	и его	4	13
5	но и	13	13
6	в этом	12	12
7	все это	6	11
8	все эти	4	11
9	прежде всего	9	10
10	в самом	5	10
11	не только	11	10
12	так как	2	10
13	то что	5	10
14	и на	2	9
15	и все	10	9
16	о том	3	9
17	никогда не	9	8
18	в этой	5	8
19	но в	2	8
20	у него	22	7
21	том что	2	7
22	как бы	3	7
23	как и	6	7
24	что в	4	7
25	в его	7	7
26	что он	3	6
27	сказать что	2	6
28	с его	4	5
29	в ее	2	5
30	и он	8	5
31	так и	2	5
32	в своем	2	5
33	тем что	2	5
34	но он	7	5
35	в себе	3	5
36	уже в	2	4
37	и от	3	4
38	он был	8	4
39	не в	11	4
40	все что	3	4
41	все же	2	4
42	не может	4	4
43	того чтобы	4	4
44	а в	5	4
45	в другом	2	4
46	с ним	3	4
47	он сам	4	3
48	было бы	3	3
49	вместо того	2	3
50	и для	2	3
51	и не	13	3
52	того что	3	3
53	что не	4	3
54	к нему	3	3
55	потому что	9	3
56	не могут	3	2
57	ведь это	2	2
58	в этих	3	2
59	человека и	10	2
60	что все	2	2
61	что человек	3	2
62	в том	5	2
63	так что	2	2
64	что они	2	2
65	от него	7	2
66	до конца	7	2
67	никто не	3	2
68	может быть	11	2
69	в своей	2	2
70	хотя и	2	2
71	он не	7	2
72	и очень	2	2
73	и потому	2	2
74	у кого	2	2
75	природы и	2	2
76	в истории	2	2
77	лишь в	7	2
78	а не	11	2
79	и то	2	2
80	он в	2	2
81	и этим	2	2
82	это было	3	2
