N	2gram	Berdyaev_O_1	Problema
1	и не	13	28
2	не только	11	24
3	в том	5	20
4	и в	19	20
5	все эти	4	16
6	то что	5	15
7	потому что	9	15
8	было бы	3	14
9	но и	13	14
10	не в	11	13
11	даже и	2	13
12	не есть	2	12
13	в себе	3	12
14	том что	2	12
15	прежде всего	9	11
16	по себе	2	11
17	так и	2	10
18	и его	4	10
19	может быть	11	9
20	все это	6	9
21	в этом	12	9
22	что он	3	8
23	и все	10	8
24	но в	2	8
25	это не	3	7
26	еще не	3	7
27	и потому	2	7
28	а не	11	7
29	сказать что	2	7
30	и с	2	7
31	хотя бы	3	7
32	и от	3	6
33	так что	2	6
34	как и	6	6
35	хотя и	2	5
36	в нем	10	5
37	в ее	2	5
38	и о	2	5
39	не может	4	5
40	только и	4	5
41	так как	2	5
42	и очень	2	5
43	в этих	3	5
44	о том	3	5
45	и ни	2	5
46	уже в	2	4
47	с тем	2	4
48	и есть	3	4
49	у достоевского	19	4
50	и для	2	4
51	и ее	3	4
52	в самой	9	4
53	всегда есть	4	4
54	в этой	5	4
55	в своей	2	4
56	как бы	3	4
57	не имеет	2	4
58	ни с	7	4
59	а в	5	4
60	что не	4	4
61	человеческих отношений	4	4
62	с ним	3	4
63	человека в	11	3
64	можно ли	2	3
65	и к	2	3
66	все в	4	3
67	он был	8	3
68	для него	5	3
69	в истории	2	3
70	учение о	2	3
71	в его	7	3
72	что и	2	3
73	что в	4	3
74	в своем	2	3
75	не было	9	3
76	для того	3	3
77	к нему	3	3
78	и на	2	3
79	тем что	2	3
80	в другом	2	3
81	нет ничего	7	3
82	о великом	6	2
83	ли сказать	2	2
84	с его	4	2
85	что они	2	2
86	не очень	2	2
87	в самом	5	2
88	он не	7	2
89	к ней	2	2
90	никто не	3	2
91	не могли	2	2
92	все же	2	2
93	для всякого	2	2
94	жизни в	2	2
95	на земле	4	2
96	того чтобы	4	2
97	и он	8	2
98	в других	2	2
99	в человеческом	2	2
100	и то	2	2
101	его в	2	2
102	в идиоте	4	2
103	в которой	2	2
104	в романах	4	2
105	это было	3	2
