N	2gram	Medvedev_S_1	Formalny
1	и в	3	38
2	в этом	5	27
3	может быть	2	23
4	таким образом	2	20
5	не в	3	15
6	но и	2	13
7	в том	5	11
8	в его	3	10
9	не только	3	9
10	что в	2	7
11	по существу	2	7
12	истории литературы	10	6
13	в результате	2	6
14	то что	2	6
15	было бы	2	6
16	то же	2	6
17	только в	2	6
18	должна быть	2	5
19	это и	2	5
20	и только	3	5
21	литературы и	2	4
22	метод в	4	4
23	как бы	2	4
24	главным образом	2	3
25	о литературе	3	3
26	все это	7	3
27	но ведь	3	3
28	или даже	2	2
29	в конце	2	2
30	том что	2	2
31	очевидно что	2	2
32	конце концов	2	2
33	нужно было	2	2
