N	2gram	Bakhtin_fo_2	VeschiIm
1	не может	2	33
2	не только	11	31
3	может быть	7	29
4	и не	9	28
5	и в	46	26
6	то что	7	24
7	вещи и	2	24
8	и есть	2	23
9	это значит	3	22
10	значит что	2	22
11	и т	14	21
12	т д	3	20
13	а не	4	20
14	в смысле	5	15
15	только в	11	14
16	того что	3	13
17	по себе	2	13
18	было бы	2	12
19	но и	9	12
20	все же	6	12
21	в себя	2	12
22	таким образом	3	11
23	то же	8	10
24	уже не	3	10
25	как бы	10	10
26	потому что	8	10
27	вещей и	7	9
28	в том	10	9
29	и с	6	9
30	прежде всего	14	9
31	себя и	3	8
32	но это	2	8
33	в себе	4	8
34	и это	2	8
35	смысла и	2	7
36	также и	4	7
37	говорить о	2	7
38	в то	5	7
39	его в	6	7
40	так как	6	7
41	том что	4	7
42	есть и	4	7
43	и их	4	7
44	и пр	2	7
45	в этом	22	7
46	так что	4	6
47	и как	3	6
48	что они	4	6
49	что в	5	6
50	для него	3	6
51	жизни и	8	6
52	и только	2	6
53	должно быть	5	6
54	точки зрения	10	6
55	но в	10	6
56	она не	2	6
57	с ним	4	6
58	в отношении	2	5
59	это не	2	5
60	с этой	4	5
61	не в	9	5
62	еще не	6	5
63	и до	2	5
64	а в	3	5
65	с тем	2	5
66	отнюдь не	4	5
67	у нас	2	5
68	но не	5	5
69	того же	3	5
70	в сущности	2	5
71	и для	9	5
72	в своем	5	4
73	с другой	2	4
74	явления и	2	4
75	же время	4	4
76	вещь в	2	4
77	точка зрения	3	4
78	из них	8	4
79	в их	3	4
80	и даже	3	4
81	с этим	5	4
82	о том	4	4
83	и более	2	4
84	и все	6	4
85	как и	8	4
86	во всех	11	4
87	и о	2	4
88	и потому	2	4
89	нет и	3	4
90	что и	3	4
91	быть и	2	4
92	между ними	2	4
93	с точки	8	4
94	в данном	2	4
95	тем что	3	4
96	никогда не	6	3
97	можно сказать	2	3
98	к тому	3	3
99	без всякого	2	3
100	на этом	2	3
101	в нем	5	3
102	отношение к	3	3
103	все это	6	3
104	отношения к	4	3
105	их в	4	3
106	к себе	4	3
107	мы имеем	2	3
108	перестает быть	2	3
109	вещами и	3	3
110	в одном	7	3
111	один из	2	3
112	что он	3	3
113	не быть	2	3
114	мы видим	2	3
115	тот же	3	3
116	как можно	3	3
117	вместе с	9	3
118	так и	7	3
119	в той	2	3
120	того чтобы	8	3
121	тем более	3	3
122	явлений и	2	3
123	и самое	4	3
124	в основе	6	3
125	мы будем	3	2
126	в частности	5	2
127	человека и	4	2
128	что на	3	2
129	в самой	2	2
130	кроме того	3	2
131	и та	2	2
132	мы уже	9	2
133	в виду	3	2
134	только один	2	2
135	чем не	2	2
136	и вот	2	2
137	не мог	2	2
138	так же	2	2
139	жизнь и	3	2
140	самим собою	2	2
141	как это	2	2
142	то есть	10	2
143	и явлений	6	2
144	от этого	2	2
145	о чем	3	2
146	а потом	2	2
147	жизни в	4	2
148	на нас	3	2
149	и во	6	2
150	а затем	3	2
151	то в	2	2
152	в качестве	3	2
153	наряду с	2	2
154	он не	5	2
155	как в	4	2
156	находится в	2	2
157	если не	2	2
158	еще более	4	2
159	и они	3	2
160	как мы	6	2
161	для того	8	2
162	тем же	2	2
163	и его	12	2
164	во всяком	2	2
165	ту же	2	2
166	в особенности	6	2
167	том как	3	2
