N	3gram	Trubetskoy_1	Vladivir
1	в том что	15	10
2	тем не менее	4	9
3	о том что	4	8
4	с точки зрения	8	6
5	не может быть	3	6
6	вместе с тем	2	6
7	в конце концов	4	5
8	что же касается	2	5
9	более или менее	7	5
10	к тому же	5	5
11	в то время	2	4
12	и то что	3	4
13	с одной стороны	2	3
14	в то же	2	3
15	бы то ни	2	3
16	во всяком случае	2	3
17	в настоящее время	2	3
18	в том случае	4	3
19	совершенно так же	4	2
20	то же время	2	2
21	в данном случае	3	2
22	так же как	3	2
23	в вопросе о	2	2
24	в связи с	3	2
25	и в том	2	2
26	а с другой	2	2
27	что несмотря на	2	2
28	ничего общего с	2	2
29	на то что	7	2
30	с другой стороны	4	2
31	то что это	2	2
32	том случае если	4	2
33	так или иначе	5	2
