N	2gram	Vygotskiy__1	Dialekti
1	и не	9	30
2	по себе	5	25
3	и в	23	18
4	ничего не	3	17
5	может быть	14	17
6	точки зрения	26	17
7	ни в	4	15
8	не имеет	2	15
9	а не	3	14
10	потому что	6	14
11	что в	14	13
12	то что	17	13
13	не только	16	13
14	и даже	2	13
15	если бы	5	12
16	было бы	4	12
17	и что	5	12
18	с точки	18	12
19	в этом	17	12
20	не может	12	12
21	что это	3	11
22	что он	7	11
23	как бы	11	11
24	учение о	3	11
25	все это	6	11
26	в себе	6	11
27	так как	7	11
28	прежде всего	10	10
29	несмотря на	2	10
30	то же	8	10
31	сказать что	11	10
32	никогда не	2	9
33	в том	24	9
34	так и	5	9
35	том что	21	9
36	и то	3	9
37	ясно что	2	8
38	в каком	3	8
39	вовсе не	3	7
40	и как	5	7
41	но и	14	7
42	что она	4	7
43	мы находим	3	7
44	с другой	10	6
45	можно сказать	5	6
46	хотя бы	4	6
47	она не	3	6
48	и вот	2	6
49	не в	4	6
50	его не	3	6
51	в то	7	6
52	в чем	4	6
53	но в	5	6
54	сам по	3	6
55	я не	3	5
56	в этих	2	5
57	в своем	3	5
58	в противоположность	2	5
59	на то	5	5
60	и мы	3	5
61	и пр	2	5
62	не с	2	5
63	все же	3	5
64	в отношении	10	5
65	что оно	3	5
66	а в	2	5
67	можно было	3	5
68	и с	9	5
69	говорить о	2	5
70	мы должны	5	5
71	об отношении	12	5
72	и более	5	4
73	больше того	2	4
74	в конце	2	4
75	к тому	4	4
76	что эта	2	4
77	во всяком	3	4
78	об этом	3	4
79	как таковой	2	4
80	мы видим	4	4
81	но не	4	4
82	же время	2	4
83	одно и	2	4
84	не могу	3	4
85	хотя и	2	4
86	в котором	4	4
87	так же	16	4
88	другой стороны	9	4
89	как раз	4	4
90	как мы	5	4
91	почти всегда	2	4
92	мы можем	6	4
93	о том	6	4
94	как он	3	4
95	как это	2	4
96	всех этих	2	3
97	сознания и	3	3
98	тому что	5	3
99	в них	2	3
100	точку зрения	2	3
101	есть не	2	3
102	не является	9	3
103	что они	3	3
104	говорит что	4	3
105	он не	5	3
106	в его	14	3
107	и потому	2	3
108	даже в	2	3
109	один из	2	3
110	друг другу	3	3
111	жизни и	2	3
112	отношения к	3	3
113	указывает на	2	3
114	мысли и	6	3
115	в их	3	3
116	в самом	7	3
117	но все	2	3
118	самом деле	3	3
119	только что	4	3
120	должно быть	2	3
121	что для	5	3
122	всегда и	3	3
123	в данном	2	3
124	в основе	8	3
125	могут быть	3	3
126	нуждается в	2	3
127	только в	6	3
128	и все	5	3
129	бы в	5	3
130	от этого	2	3
131	на этом	2	2
132	того что	15	2
133	же как	6	2
134	бы и	2	2
135	по мере	4	2
136	она должна	4	2
137	именно в	6	2
138	в виде	2	2
139	в частности	2	2
140	в качестве	9	2
141	сравнению с	5	2
142	того кто	2	2
143	как в	4	2
144	с этой	6	2
145	и от	3	2
146	из этих	3	2
147	с другими	2	2
148	к этому	4	2
149	вопрос о	7	2
150	со всей	4	2
151	оно есть	2	2
152	как и	14	2
153	мы и	3	2
154	и при	2	2
155	с той	2	2
156	что именно	3	2
157	такой же	3	2
158	что если	2	2
159	чем он	2	2
160	для него	2	2
161	до сих	4	2
162	только тогда	2	2
163	одной стороны	9	2
164	для того	15	2
165	о чем	2	2
166	в первую	3	2
167	вслед за	2	2
168	себе и	2	2
169	по сравнению	6	2
170	и следовательно	3	2
171	всяком случае	3	2
172	тем более	5	2
173	в своей	4	2
174	к другу	2	2
175	в современной	2	2
176	с ней	2	2
177	сих пор	4	2
178	образом и	3	2
179	для этого	5	2
180	с этим	6	2
181	речь как	3	2
182	а с	4	2
183	этом отношении	4	2
184	с одной	8	2
185	все эти	4	2
186	из того	5	2
187	если мы	2	2
188	уже не	2	2
189	мысли в	5	2
190	учения о	6	2
191	существенно не	2	2
192	ее на	4	2
193	то и	3	2
194	в которых	3	2
195	как таковая	2	2
196	в другом	7	2
197	во всем	3	2
198	и это	3	2
199	что как	2	2
200	заметить что	2	2
201	если это	2	2
202	время как	4	2
