N	2gram	Potebnia_M_2	Narrotol
1	не только	15	31
2	но и	9	27
3	и не	19	23
4	при этом	13	19
5	может быть	23	15
6	как и	7	13
7	а не	18	13
8	а в	8	13
9	только в	11	12
10	в этом	8	12
11	и в	24	11
12	состоит в	2	10
13	и его	2	10
14	тогда как	10	10
15	то что	20	9
16	во времени	2	9
17	то есть	30	9
18	то же	12	8
19	в том	18	8
20	со стороны	3	8
21	не может	12	8
22	уже не	4	8
23	если бы	11	7
24	у него	2	7
25	том что	8	7
26	но в	4	7
27	не в	13	6
28	в самом	4	6
29	как бы	9	6
30	один из	2	6
31	или в	2	6
32	в себе	10	6
33	в его	2	6
34	на другой	2	5
35	так и	5	5
36	тем самым	4	5
37	столь же	5	5
38	и на	8	5
39	потому что	49	5
40	между двумя	6	5
41	слова в	5	4
42	с его	2	4
43	никогда не	4	4
44	из этих	4	4
45	что на	3	4
46	все же	5	4
47	для него	10	4
48	но не	12	4
49	же время	2	4
50	прежде всего	7	4
51	еще не	4	4
52	имеет место	2	4
53	в ней	3	4
54	и тем	3	4
55	в нем	9	4
56	из них	5	4
57	по себе	15	4
58	как в	10	4
59	внимание на	2	4
60	так в	4	4
61	того что	7	4
62	того чтобы	2	4
63	или не	5	4
64	хотя и	3	4
65	в то	6	4
66	что у	2	4
67	о том	5	4
68	одна из	4	4
69	в одном	6	4
70	в сознании	23	4
71	не менее	5	3
72	тому как	4	3
73	что в	16	3
74	в нашем	2	3
75	это не	3	3
76	в пространстве	2	3
77	в жизни	2	3
78	что он	4	3
79	тем не	6	3
80	у нас	2	3
81	и как	6	3
82	в целом	3	3
83	самом деле	2	3
84	для того	5	3
85	по отношению	2	3
86	быть не	3	3
87	не было	6	3
88	в слове	13	3
89	мы не	11	3
90	и то	3	3
91	их в	2	3
92	подобно тому	4	3
93	и все	3	3
94	как это	2	3
95	между тем	6	3
96	стало быть	4	3
97	этого не	2	2
98	зависит от	2	2
99	по мере	5	2
100	в этих	3	2
101	того кто	3	2
102	в свою	6	2
103	на то	5	2
104	что может	2	2
105	же в	5	2
106	и того	6	2
107	для одного	2	2
108	свою очередь	6	2
109	все что	3	2
110	между ними	2	2
111	одно и	2	2
112	до сих	4	2
113	всяком случае	7	2
114	если в	3	2
115	не имеет	6	2
116	оно не	3	2
117	на две	2	2
118	хотя бы	2	2
119	нами не	2	2
120	вместе с	11	2
121	сих пор	4	2
122	заключает в	4	2
123	и тогда	3	2
124	другой стороны	2	2
125	только что	3	2
126	и действия	2	2
127	в связи	2	2
128	и только	6	2
129	для обозначения	2	2
130	если не	4	2
131	человека в	3	2
132	только от	3	2
133	что не	5	2
134	тем же	3	2
135	и притом	3	2
136	с другой	6	2
137	и для	3	2
138	друг друга	2	2
139	в таком	4	2
140	с ними	3	2
141	нас в	2	2
142	сами по	7	2
143	сказать что	2	2
144	во всяком	7	2
145	мы можем	12	2
146	и от	3	2
147	связи с	6	2
148	что мы	11	2
149	так сказать	4	2
150	от сознания	2	2
151	в чем	7	2
152	с ним	5	2
153	это было	2	2
