N	2gram	Nazirov_Tv_1	Analitik
1	в качестве	2	31
2	может быть	5	29
3	в том	7	27
4	не может	4	22
5	и не	7	21
6	в частности	2	19
7	и в	21	18
8	а не	5	17
9	но и	3	17
10	представляет собой	3	16
11	отнюдь не	5	15
12	не только	7	15
13	не в	2	14
14	как и	12	13
15	в его	13	13
16	в этом	6	13
17	том что	11	12
18	при этом	7	12
19	в себе	2	11
20	то есть	12	11
21	но не	3	10
22	то же	13	9
23	а в	6	9
24	в то	15	9
25	в мире	4	8
26	есть не	2	8
27	в принципе	2	8
28	но в	7	8
29	к тому	2	7
30	тем самым	7	7
31	времени и	4	6
32	это не	4	6
33	прежде всего	4	6
34	же время	12	6
35	в самом	3	6
36	далеко не	3	6
37	то что	8	6
38	в своей	4	6
39	в себя	2	6
40	в отличие	2	6
41	отличие от	2	6
42	в основе	2	6
43	только в	5	6
44	я и	3	6
45	и того	2	5
46	и как	4	5
47	в этой	5	5
48	что в	12	5
49	как бы	17	5
50	в целом	4	5
51	в их	3	5
52	и его	6	5
53	и на	7	5
54	о том	6	5
55	того что	3	4
56	могут быть	2	4
57	конечном счете	4	4
58	с другой	3	4
59	в литературе	2	4
60	того же	2	4
61	в конечном	4	4
62	все же	5	4
63	вместе с	2	4
64	так и	2	4
65	во времени	3	4
66	именно в	2	4
67	уже не	3	4
68	с ним	3	4
69	место в	3	3
70	с его	11	3
71	однако в	2	3
72	хотя бы	5	3
73	и все	6	3
74	личности в	2	3
75	в нем	3	3
76	что он	6	3
77	и т	3	3
78	что не	2	3
79	одним из	4	3
80	он не	8	3
81	в котором	6	3
82	если в	2	3
83	даже в	3	3
84	дело не	3	3
85	что и	2	3
86	не будет	2	3
87	таким образом	5	3
88	по природе	6	3
89	что как	2	3
90	ведет к	2	3
91	не случайно	4	3
92	т п	2	3
93	как будто	5	3
94	подхода к	3	3
95	своего рода	4	3
96	быть может	2	2
97	никогда не	3	2
98	не столько	2	2
99	вовсе не	5	2
100	а как	2	2
101	можно сказать	2	2
102	самое время	2	2
103	то в	2	2
104	такой же	2	2
105	соответствии с	3	2
106	это как	3	2
107	для него	6	2
108	мысль о	2	2
109	на его	3	2
110	и та	2	2
111	не могу	2	2
112	других людей	2	2
113	одного из	2	2
114	еще в	2	2
115	один из	4	2
116	из них	2	2
117	данном случае	2	2
118	который в	3	2
119	как к	2	2
120	той же	3	2
121	в двух	2	2
122	на самом	3	2
123	самом деле	2	2
124	свидетельствует о	2	2
125	и по	3	2
126	самим собой	4	2
127	в данном	2	2
128	при помощи	2	2
129	в первом	2	2
130	так как	3	2
131	потому что	5	2
132	в которой	3	2
133	и с	3	2
134	мира в	2	2
