N	2gram	Vygotskiy__3	StatiiOP
1	и в	25	29
2	том что	20	27
3	в том	23	27
4	в этом	14	21
5	но и	4	19
6	что в	17	19
7	не только	6	19
8	о том	5	17
9	что он	6	13
10	в его	15	13
11	то что	15	11
12	все это	6	11
13	к тому	4	10
14	таким образом	17	10
15	в своем	4	9
16	так и	5	9
17	этом отношении	3	9
18	и не	10	9
19	как на	2	9
20	потому что	6	9
21	он не	4	9
22	но все	2	7
23	с тем	16	7
24	в самом	3	7
25	в котором	3	7
26	в своей	2	7
27	вместе с	14	7
28	тому что	2	7
29	того как	3	7
30	для того	7	7
31	не столько	4	7
32	об этом	2	6
33	в одном	2	6
34	одним из	5	6
35	все же	6	6
36	в течение	2	6
37	и что	10	6
38	факт что	5	6
39	того чтобы	8	6
40	и его	2	6
41	и на	6	6
42	прежде всего	4	5
43	в качестве	12	5
44	было бы	10	5
45	как бы	10	5
46	того что	10	5
47	между тем	3	5
48	точки зрения	6	5
49	а как	2	4
50	именно в	5	4
51	в частности	4	4
52	с другой	6	4
53	раньше чем	2	4
54	тот факт	5	4
55	к этому	3	4
56	не в	6	4
57	для него	5	4
58	и к	5	4
59	хотя и	2	4
60	в нем	2	4
61	внимание на	2	4
62	то обстоятельство	3	4
63	в речи	2	4
64	обстоятельство что	3	4
65	связи с	9	4
66	в известном	4	3
67	не менее	6	3
68	самого начала	6	3
69	же как	6	3
70	что это	5	3
71	в этих	2	3
72	из нее	2	3
73	не является	8	3
74	оно не	2	3
75	с этим	4	3
76	на себя	2	3
77	с нею	2	3
78	по себе	7	3
79	ни в	9	3
80	не мог	4	3
81	так что	2	3
82	но это	5	3
83	в начале	2	3
84	но не	6	3
85	в пользу	5	3
86	никогда не	4	3
87	всяком случае	4	3
88	оба эти	3	3
89	из них	4	3
90	другой стороны	3	3
91	как в	9	3
92	а с	3	3
93	относятся к	2	3
94	тем что	8	3
95	с самого	6	3
96	и по	5	3
97	так же	17	3
98	связан с	2	3
99	во всяком	4	3
100	и здесь	2	3
101	которые не	4	3
102	в эту	2	3
103	в отношении	6	2
104	но они	2	2
105	с его	2	2
106	ни было	2	2
107	совершенно так	2	2
108	если бы	5	2
109	по этому	3	2
110	в них	2	2
111	что с	4	2
112	в какой	4	2
113	с этой	3	2
114	в чисто	2	2
115	связь с	3	2
116	конечно в	2	2
117	в тех	2	2
118	что и	10	2
119	тем не	5	2
120	только потому	2	2
121	как и	15	2
122	и как	5	2
123	в этой	5	2
124	что они	10	2
125	в то	4	2
126	по своему	11	2
127	как известно	3	2
128	и сам	3	2
129	на его	2	2
130	такого рода	2	2
131	может быть	13	2
132	тем же	4	2
133	и потому	2	2
134	а также	2	2
135	еще в	2	2
136	на то	4	2
137	сами по	3	2
138	образом не	2	2
139	только в	10	2
140	не могли	3	2
141	с той	2	2
142	как говорит	5	2
143	в процессе	27	2
144	или менее	3	2
145	и речи	20	2
146	только что	2	2
147	не может	6	2
148	то же	2	2
149	все эти	7	2
150	при этом	5	2
151	там где	4	2
152	в отличие	6	2
153	по пути	4	2
154	на этот	2	2
155	в результате	3	2
156	сказать что	4	2
157	в каком	2	2
158	в себе	2	2
159	этот вопрос	3	2
160	в один	2	2
161	его в	3	2
162	как он	3	2
163	и это	4	2
164	так как	12	2
165	как это	7	2
166	того же	6	2
167	отличие от	6	2
168	в области	7	2
169	говорит об	2	2
