N	2gram	Trubetskoy_1	Myslijsy
1	то есть	4	34
2	потому что	7	33
3	то что	7	29
4	может быть	10	26
5	таким образом	22	24
6	в том	11	23
7	и в	26	23
8	в этом	15	23
9	и проч	2	18
10	и не	8	18
11	что в	9	17
12	при этом	3	15
13	только в	4	15
14	в себе	6	14
15	то же	4	14
16	того что	3	14
17	так как	9	14
18	если бы	3	13
19	том что	7	12
20	не было	2	12
21	а не	5	12
22	но и	9	11
23	не в	2	11
24	не может	4	11
25	и потому	6	10
26	что мы	2	10
27	не только	10	10
28	мы можем	2	10
29	между тем	2	9
30	в своем	3	8
31	тогда когда	2	8
32	отношению к	3	8
33	заключает в	2	8
34	сказать что	2	8
35	о том	6	8
36	но в	7	8
37	с тем	18	7
38	что это	3	7
39	на то	2	7
40	в нем	4	7
41	что и	6	7
42	в силу	5	7
43	и что	4	7
44	и к	5	6
45	тех пор	2	6
46	мысль о	2	6
47	для того	5	6
48	вместе с	15	6
49	тем и	2	6
50	в которой	3	6
51	так и	6	6
52	уже в	2	5
53	по крайней	5	5
54	так что	3	5
55	для него	3	5
56	в его	5	5
57	как бы	12	5
58	к нему	7	5
59	крайней мере	5	5
60	все это	6	5
61	не менее	3	5
62	а в	4	5
63	во всяком	6	5
64	образом в	5	5
65	не имеет	5	5
66	и все	2	4
67	что все	4	4
68	что он	4	4
69	тем не	3	4
70	до сих	5	4
71	можно сказать	3	4
72	в одном	3	4
73	и о	3	4
74	в котором	4	4
75	сих пор	5	4
76	того чтобы	5	4
77	хотя бы	3	4
78	так же	5	4
79	с другими	4	4
80	в таком	3	4
81	когда человек	2	4
82	точки зрения	13	4
83	в то	4	4
84	же самое	2	4
85	мы имеем	2	4
86	и с	10	4
87	только не	2	3
88	к которым	2	3
89	никогда не	5	3
90	связи с	9	3
91	в этих	4	3
92	в них	2	3
93	не всегда	2	3
94	и вместе	4	3
95	в смысле	4	3
96	именно в	2	3
97	же время	2	3
98	еще не	2	3
99	и если	3	3
100	и из	2	3
101	к тому	6	3
102	в самом	4	3
103	в виду	2	3
104	всяком случае	6	3
105	в процессе	2	3
106	только что	2	3
107	и таким	3	3
108	и только	4	3
109	в разных	2	3
110	все эти	6	3
111	те же	2	3
112	уже не	3	3
113	лишь в	5	3
114	и по	4	3
115	и на	2	3
116	в которых	4	3
117	с точки	6	3
118	что эти	3	3
119	на нее	3	3
120	можно только	2	2
121	только для	2	2
122	признать что	2	2
123	во время	4	2
124	не могут	2	2
125	течением времени	3	2
126	самого начала	2	2
127	состоит в	2	2
128	из себя	2	2
129	и как	3	2
130	все что	2	2
131	по тому	2	2
132	убеждение что	2	2
133	превращается в	2	2
134	с другой	8	2
135	не как	2	2
136	из этих	10	2
137	точно так	3	2
138	в образе	2	2
139	большею частью	2	2
140	отношение к	5	2
141	этого последнего	2	2
142	и здесь	2	2
143	в самой	2	2
144	из этого	2	2
145	по своему	2	2
146	в свою	2	2
147	тот же	2	2
148	никем не	2	2
149	к ним	3	2
150	он не	4	2
151	не вполне	3	2
152	с течением	3	2
153	так или	3	2
154	один из	2	2
155	не с	2	2
156	и это	2	2
157	в мире	5	2
158	и сами	2	2
159	можно назвать	2	2
160	конечно не	2	2
161	и для	5	2
162	в течение	4	2
163	из которых	4	2
164	и у	8	2
165	на этот	4	2
166	и даже	3	2
167	в других	3	2
168	или иначе	3	2
169	в глазах	2	2
170	виде в	2	2
171	в виде	4	2
172	и при	3	2
173	к его	2	2
174	мы должны	6	2
175	отчасти от	2	2
176	быть и	2	2
177	в области	9	2
178	из него	2	2
