N	2gram	Losev_Vesc_1	Poddanst
1	не только	36	17
2	и в	21	14
3	и не	29	12
4	в отношении	4	10
5	в этом	4	10
6	то же	6	9
7	в том	8	9
8	но в	5	9
9	хотя бы	6	8
10	в то	3	7
11	только в	14	7
12	но и	18	6
13	в ней	12	6
14	в смысле	12	6
15	было бы	14	6
16	с другой	6	5
17	не в	5	5
18	и пр	6	5
19	и о	3	5
20	может быть	16	5
21	в котором	3	4
22	то что	27	4
23	что в	9	4
24	если бы	5	4
25	в своем	6	4
26	не может	17	4
27	в с	2	4
28	по себе	13	4
29	а в	4	4
30	том что	8	4
31	мы должны	2	4
32	и если	2	4
33	тех кто	2	4
34	как бы	12	4
35	и потому	5	4
36	сами по	3	3
37	в нем	2	3
38	и т	19	3
39	с тем	5	3
40	в россии	2	3
41	она есть	8	3
42	и без	3	3
43	это не	5	3
44	с одной	3	3
45	т е	55	3
46	прежде всего	9	3
47	для того	2	3
48	с точки	3	3
49	сводится к	2	3
50	мы не	6	3
51	и как	8	3
52	с ними	3	3
53	но не	5	3
54	точки зрения	5	3
55	в себе	14	3
56	что мы	14	3
57	тот же	3	3
58	одной стороны	3	3
59	потому что	16	3
60	хотя и	4	3
61	я и	6	3
62	в сфере	4	2
63	не менее	3	2
64	и тем	3	2
65	и есть	26	2
66	во всех	2	2
67	отнюдь не	5	2
68	со стороны	5	2
69	в последние	2	2
70	есть нечто	6	2
71	все это	5	2
72	может ли	2	2
73	как раз	9	2
74	с этим	3	2
75	в жизни	3	2
76	между прочим	3	2
77	еще более	2	2
78	и вот	2	2
79	стороны и	2	2
80	только это	3	2
81	а не	19	2
82	бы ни	2	2
83	того что	8	2
84	должно быть	6	2
85	для нас	2	2
86	в ее	7	2
87	говорить о	6	2
88	есть не	14	2
89	для тех	3	2
90	одна из	5	2
91	в силу	3	2
92	является в	2	2
93	по сравнению	7	2
94	не нужно	2	2
95	из них	4	2
96	нужно было	2	2
97	и это	14	2
98	никак не	3	2
99	да и	3	2
100	что из	2	2
101	в его	2	2
102	и с	8	2
