N	2gram	Voloshinov_1	Vladivir
1	и в	13	31
2	не только	6	24
3	но и	3	19
4	то что	6	18
5	и не	8	17
6	том что	2	14
7	что в	3	14
8	в этом	2	14
9	в его	7	12
10	но в	4	12
11	в том	2	11
12	и то	3	10
13	никогда не	3	9
14	а в	2	9
15	в течение	2	9
16	только в	6	9
17	так как	3	8
18	уже в	2	7
19	для него	2	7
20	и его	12	7
21	мы уже	2	7
22	еще и	4	7
23	и к	2	6
24	может быть	8	6
25	так и	3	6
26	не может	8	6
27	то же	4	6
28	все это	4	5
29	вовсе не	2	5
30	не в	3	5
31	а также	2	5
32	что же	3	5
33	в своих	2	5
34	и все	3	4
35	в нем	2	4
36	в себе	3	4
37	да и	3	4
38	как и	3	4
39	еще в	2	4
40	в своей	4	4
41	в этот	2	4
42	несмотря на	2	4
43	во всем	2	4
44	в которой	3	4
45	в общем	2	3
46	к тому	2	3
47	с другой	2	3
48	как в	2	3
49	что они	2	3
50	тот же	2	3
51	за пределы	3	3
52	все же	5	3
53	в целом	2	3
54	другой стороны	2	3
55	в отношении	2	3
56	в связи	2	3
57	собственно говоря	2	3
58	таким образом	6	3
59	все эти	2	3
60	здесь мы	3	3
61	не мог	2	3
62	тем что	2	2
63	не менее	2	2
64	в них	2	2
65	хотя бы	5	2
66	не столько	3	2
67	в тех	2	2
68	учение о	2	2
69	при этом	2	2
70	было бы	4	2
71	кажется что	2	2
72	в самом	2	2
73	для себя	2	2
74	но мы	4	2
75	и для	3	2
76	лишь в	4	2
77	с ними	2	2
78	точки зрения	7	2
79	мы должны	6	2
80	его на	2	2
81	в которую	2	2
82	в чем	2	2
