N	2gram	Potebnia_M_4	Narrotol
1	не только	10	32
2	может быть	26	25
3	но и	11	23
4	и не	18	20
5	и в	23	19
6	то есть	34	19
7	в том	23	18
8	в этом	23	17
9	том что	12	14
10	не в	11	14
11	состоит в	2	13
12	а не	12	12
13	тогда как	4	12
14	то что	29	11
15	а в	5	11
16	не может	11	10
17	точки зрения	4	10
18	при этом	15	9
19	со стороны	3	9
20	так и	6	9
21	в его	5	9
22	в мире	2	9
23	с другой	2	8
24	в себе	14	8
25	как и	14	7
26	еще не	3	7
27	к тому	3	7
28	как в	7	7
29	по отношению	10	7
30	что он	4	6
31	отношению к	8	6
32	то в	3	6
33	именно в	3	6
34	в той	4	6
35	тем самым	4	6
36	о том	8	6
37	но в	8	6
38	и как	2	5
39	по себе	11	5
40	можно сказать	4	5
41	уже не	3	5
42	к нему	5	5
43	и его	2	5
44	в данном	4	5
45	переход от	3	4
46	в нем	7	4
47	что не	6	4
48	то же	14	4
49	да и	4	4
50	в силу	7	4
51	же время	3	4
52	было бы	8	4
53	связи с	3	4
54	как бы	5	4
55	и тем	4	4
56	хотя бы	4	4
57	данном случае	2	4
58	те же	3	4
59	из которых	2	4
60	сказать что	8	4
61	только в	15	4
62	и с	4	4
63	не существует	2	3
64	не менее	5	3
65	что в	17	3
66	могут быть	7	3
67	никогда не	3	3
68	уже в	5	3
69	из этих	2	3
70	в свою	2	3
71	тем не	4	3
72	в сущности	2	3
73	на том	2	3
74	хотя и	5	3
75	в ней	2	3
76	он не	2	3
77	и даже	2	3
78	один из	2	3
79	не с	2	3
80	не есть	9	3
81	не будет	3	3
82	в первом	3	3
83	в ее	2	3
84	а именно	4	3
85	даже не	2	3
86	как мы	2	3
87	столь же	2	3
88	или иначе	2	3
89	и на	3	3
90	между тем	9	3
91	тем что	10	3
92	в то	4	3
93	что это	7	3
94	бы не	3	2
95	независимо от	6	2
96	в своем	8	2
97	что у	3	2
98	оно не	2	2
99	не как	2	2
100	точно так	2	2
101	быть может	4	2
102	не всегда	3	2
103	что на	2	2
104	кто говорит	2	2
105	что иное	2	2
106	только о	2	2
107	есть в	5	2
108	между ними	4	2
109	имеем дело	2	2
110	и тот	3	2
111	не что	2	2
112	но сама	2	2
113	для него	5	2
114	языка и	3	2
115	она не	2	2
116	было в	3	2
117	не от	3	2
118	от одного	3	2
119	например в	3	2
120	значительной степени	2	2
121	и когда	2	2
122	и потому	10	2
123	и др	2	2
124	так или	2	2
125	даже в	2	2
126	не имеет	5	2
127	сами по	2	2
128	лица и	3	2
129	говоря словами	2	2
130	и до	3	2
131	отношение к	2	2
132	есть всегда	3	2
133	так же	4	2
134	и только	3	2
135	не было	12	2
136	все эти	3	2
137	хотя в	2	2
138	в двух	2	2
139	человека в	2	2
140	самом деле	3	2
141	что мы	10	2
142	и для	2	2
143	с точки	3	2
144	это не	7	2
145	в таком	4	2
146	можно было	2	2
147	тому как	2	2
148	тем более	5	2
149	не то	5	2
150	подобно тому	2	2
151	как ни	2	2
152	говорить о	5	2
153	этого слова	7	2
154	и все	4	2
155	его в	4	2
156	когда мы	6	2
157	а если	2	2
158	что по	2	2
159	мы имеем	4	2
160	иное как	2	2
161	таком случае	2	2
