N	2gram	Kanaev_Sov_1	Freidism
1	таким образом	11	24
2	и не	6	23
3	не может	17	20
4	точки зрения	12	19
5	прежде всего	5	18
6	и пр	2	15
7	в этом	7	15
8	в его	2	15
9	с помощью	4	14
10	мы можем	6	13
11	может быть	12	13
12	как и	6	11
13	как бы	4	11
14	все эти	5	11
15	с точки	5	11
16	и потому	3	10
17	как мы	2	10
18	самом деле	2	10
19	но в	3	10
20	и в	7	9
21	еще не	3	8
22	не только	4	8
23	все это	3	8
24	то же	3	8
25	и все	3	8
26	так как	4	8
27	мы знаем	2	7
28	тот же	2	7
29	во всяком	2	7
30	мы видели	4	7
31	в самом	2	7
32	что же	5	7
33	и наконец	5	7
34	всяком случае	2	7
35	точку зрения	4	6
36	все те	2	6
37	так сказать	2	6
38	совершенно не	2	6
39	и к	3	5
40	знаем что	2	5
41	но мы	3	5
42	в свою	2	5
43	не в	3	5
44	в этой	3	5
45	что такое	2	5
46	что в	2	5
47	по мнению	2	5
48	а в	4	5
49	могут быть	2	5
50	с этим	2	5
51	мы должны	4	5
52	не менее	2	4
53	то ни	2	4
54	из этих	2	4
55	не дает	2	4
56	если мы	4	4
57	на этом	2	4
58	при этом	3	4
59	в зависимости	4	4
60	в нем	3	4
61	все же	3	4
62	уже не	2	4
63	с самого	3	4
64	в которой	2	4
65	той же	2	4
66	мы не	9	4
67	в таком	2	4
68	говорить о	2	4
69	зависимости от	4	4
70	не могут	2	3
71	самого начала	3	3
72	и есть	2	3
73	что все	2	3
74	помощью которых	2	3
75	конечно в	2	3
76	первый период	2	3
77	в себе	3	3
78	со всеми	2	3
79	было бы	3	3
80	жизни и	4	3
81	вместе с	4	3
82	приводит к	2	3
83	и что	2	3
84	свою очередь	2	3
85	на этот	2	3
86	и по	2	3
87	такой же	2	3
88	у него	2	3
89	такие же	2	3
90	одна из	3	3
91	этих двух	2	2
92	уже в	3	2
93	видели что	3	2
94	но все	2	2
95	что это	2	2
96	быть и	2	2
97	в нашем	2	2
98	между собой	3	2
99	это не	4	2
100	в конце	3	2
101	не можем	7	2
102	же самое	2	2
103	рот и	2	2
104	для развития	2	2
105	тем не	2	2
106	для нас	3	2
107	на этой	3	2
108	а не	3	2
109	ли мы	3	2
110	из них	4	2
111	которой он	2	2
112	на две	3	2
113	в развитии	4	2
114	что она	3	2
115	отличается от	3	2
116	с одной	2	2
117	живого организма	3	2
118	и они	2	2
119	в отличие	2	2
120	в науке	2	2
121	тем же	2	2
122	и даже	2	2
123	дает нам	2	2
124	отличие от	2	2
125	роль в	2	2
126	мы видим	2	2
127	их в	4	2
128	период развития	2	2
129	в первом	3	2
130	когда мы	3	2
131	в области	3	2
