N	2gram	Vinokur_Vv_1	KulturaY
1	т е	38	38
2	и т	43	33
3	в том	31	30
4	и в	27	24
5	потому что	14	23
6	том что	26	21
7	т п	5	18
8	что в	11	17
9	того чтобы	21	17
10	для того	21	16
11	было бы	5	15
12	т д	37	14
13	в этом	34	14
14	точки зрения	7	14
15	может быть	24	13
16	языка в	4	12
17	все же	8	12
18	таким образом	19	12
19	в его	10	12
20	и не	13	12
21	не в	8	11
22	только в	13	11
23	вовсе не	6	10
24	в силу	3	10
25	в самом	12	10
26	у нас	2	10
27	не только	21	10
28	хотя бы	5	10
29	если бы	2	9
30	то что	17	9
31	прежде всего	8	9
32	язык как	3	9
33	отношению к	4	9
34	самом деле	6	9
35	того что	12	9
36	с точки	2	9
37	о том	15	9
38	так как	13	9
39	а только	8	8
40	том чтобы	6	8
41	языка и	12	8
42	по отношению	4	8
43	то же	8	8
44	уже не	5	8
45	а не	3	8
46	как раз	4	8
47	тем что	6	8
48	о языке	3	8
49	не менее	8	7
50	в них	4	7
51	с другой	8	7
52	не трудно	7	7
53	связи с	3	7
54	в качестве	7	7
55	история языка	2	7
56	как бы	5	7
57	вместе с	6	7
58	не может	13	7
59	это не	8	7
60	в области	4	7
61	однако не	4	6
62	в какой	4	6
63	тогда когда	3	6
64	именно в	8	6
65	что он	4	6
66	при этом	3	6
67	что такое	10	6
68	в ней	3	6
69	но и	5	6
70	что же	3	6
71	все это	6	6
72	другой стороны	5	6
73	можно было	7	6
74	все эти	3	6
75	в которых	6	6
76	мы имеем	3	6
77	мере в	4	6
78	этого рода	8	6
79	еще и	3	5
80	с тем	6	5
81	что это	3	5
82	по крайней	4	5
83	той мере	4	5
84	к тому	4	5
85	языка как	2	5
86	крайней мере	4	5
87	но не	7	5
88	еще не	4	5
89	что не	5	5
90	например в	2	5
91	всяком случае	3	5
92	и что	4	5
93	но уже	2	5
94	истории языка	5	5
95	этом отношении	3	5
96	в виду	4	5
97	не просто	4	5
98	а потому	3	5
99	в той	7	5
100	а в	5	5
101	и его	5	5
102	рядом с	2	5
103	в результате	3	5
104	во всяком	3	5
105	между тем	8	5
106	и с	2	5
107	учение о	2	4
108	в частности	3	4
109	в этих	3	4
110	же касается	2	4
111	в нем	13	4
112	в тех	2	4
113	по существу	2	4
114	того же	3	4
115	из них	3	4
116	один из	6	4
117	должен быть	4	4
118	что и	3	4
119	не есть	4	4
120	тем не	8	4
121	в целом	5	4
122	сих пор	5	4
123	со стороны	12	4
124	до сих	5	4
125	и тогда	3	4
126	внимание на	4	4
127	с этим	2	4
128	того как	3	4
129	следует что	2	4
130	стоит в	2	4
131	так что	5	4
132	речь в	4	4
133	так же	3	4
134	русский язык	3	4
135	и на	3	4
136	в данном	11	4
137	из этих	5	4
138	уже в	5	3
139	нисколько не	3	3
140	как на	11	3
141	казалось бы	2	3
142	уже и	7	3
143	культурного развития	3	3
144	состоит в	2	3
145	в известных	2	3
146	смысле этого	8	3
147	для этого	3	3
148	ясно что	9	3
149	этом смысле	11	3
150	трудно видеть	6	3
151	его к	2	3
152	то это	3	3
153	можно сказать	3	3
154	в первом	5	3
155	в г	5	3
156	в соответствии	2	3
157	соответствии с	2	3
158	в этой	3	3
159	обе эти	2	3
160	в общем	12	3
161	знание языка	2	3
162	гораздо более	3	3
163	в сущности	3	3
164	на том	3	3
165	этого слова	2	3
166	слова как	2	3
167	в котором	4	3
168	по мере	4	3
169	в истории	9	3
170	не с	2	3
171	что она	3	3
172	тому что	2	3
173	в своем	3	3
174	в связи	2	3
