N	2gram	Losev_Vesc_1	Literetu
1	не только	36	24
2	но и	18	17
3	а не	19	16
4	в том	8	16
5	том что	8	14
6	может быть	16	13
7	и не	29	12
8	в этом	4	12
9	прежде всего	9	11
10	в своем	6	11
11	то что	27	10
12	или иначе	4	9
13	так или	4	8
14	не в	5	8
15	и в	21	8
16	только в	14	8
17	как это	2	8
18	не менее	3	7
19	я не	4	7
20	в его	2	7
21	как бы	12	7
22	уже не	9	7
23	в себе	14	7
24	я и	6	7
25	в жизни	3	6
26	как и	8	6
27	себя в	10	6
28	того что	8	6
29	точки зрения	5	6
30	с этой	4	5
31	я в	2	5
32	для себя	5	5
33	не может	17	5
34	то же	6	5
35	в данном	5	5
36	в то	3	5
37	перестает быть	3	4
38	для этого	4	4
39	это не	5	4
40	в конце	2	4
41	в силу	3	4
42	но не	5	4
43	еще не	8	4
44	и тем	3	4
45	все же	4	4
46	из них	4	4
47	по преимуществу	2	4
48	в своей	5	4
49	данном случае	2	4
50	со стороны	5	4
51	так и	3	4
52	никогда не	2	4
53	и его	2	4
54	как раз	9	4
55	в этой	3	4
56	в уме	3	4
57	с собой	2	4
58	в основе	3	3
59	что в	9	3
60	и есть	26	3
61	с другой	6	3
62	сводится к	2	3
63	да и	3	3
64	одна из	5	3
65	в самом	9	3
66	у него	2	3
67	в сфере	4	3
68	один из	3	3
69	жизни и	2	3
70	а в	4	3
71	таким образом	8	3
72	еще и	8	3
73	и даже	6	3
74	той же	2	3
75	потому что	16	3
76	во всяком	3	3
77	к себе	4	3
78	но в	5	3
79	по своей	2	3
80	также и	6	3
81	его в	2	3
82	дело в	4	3
83	в виду	2	3
84	на этом	2	2
85	бы я	2	2
86	с чем	7	2
87	должна быть	4	2
88	отнюдь не	5	2
89	будь то	3	2
90	дело не	2	2
91	подобно тому	4	2
92	в себя	13	2
93	же это	4	2
94	различие между	2	2
95	к тому	3	2
96	а только	3	2
97	тем не	3	2
98	или иную	2	2
99	и того	2	2
100	из его	2	2
101	в другом	2	2
102	что я	24	2
103	того же	5	2
104	и само	2	2
105	для него	4	2
106	ту или	2	2
107	одной стороны	3	2
108	было бы	14	2
109	относится к	5	2
110	всяком случае	2	2
111	для нее	2	2
112	должен быть	2	2
113	в нем	2	2
114	то это	3	2
115	не есть	49	2
116	если оно	4	2
117	только то	2	2
118	в сущности	4	2
119	только на	3	2
120	то и	4	2
121	и только	3	2
122	с одной	3	2
123	все эти	3	2
124	из того	2	2
125	самом деле	4	2
126	во втором	2	2
127	что не	5	2
128	что такое	12	2
129	взаимопонимания между	2	2
130	хотя бы	6	2
131	с точки	3	2
132	в слове	2	2
133	можно было	2	2
134	тому как	4	2
135	и то	10	2
136	не случайно	2	2
137	тем что	2	2
138	а вы	2	2
139	самим собою	2	2
140	себе в	3	2
141	ту же	2	2
142	на это	4	2
143	о том	6	2
144	в россии	2	2
