N	2gram	Tiupa_Narr_1	Psycholo
1	то что	11	44
2	и в	19	33
3	в этом	17	28
4	как бы	4	25
5	может быть	25	22
6	том что	14	22
7	что в	3	21
8	в том	18	21
9	о том	6	20
10	что он	6	20
11	как это	6	14
12	что это	3	13
13	и не	20	13
14	так же	2	13
15	сказать что	4	13
16	то есть	19	13
17	к тому	7	12
18	все то	2	12
19	и все	2	12
20	было бы	4	12
21	самом деле	2	12
22	он не	3	11
23	не может	10	10
24	в его	9	10
25	в этой	5	9
26	по себе	5	9
27	как раз	2	9
28	то же	4	9
29	в рассказе	4	8
30	как будто	3	8
31	в своем	2	7
32	в нем	4	7
33	и только	2	7
34	не только	32	7
35	когда он	3	7
36	перед нами	4	6
37	это не	2	6
38	что они	3	6
39	в ней	3	6
40	все эти	2	6
41	точки зрения	10	6
42	что мы	2	6
43	когда мы	2	6
44	у него	4	6
45	в сущности	3	6
46	а не	12	6
47	в себе	8	6
48	никогда не	3	5
49	в какой	2	5
50	и как	5	5
51	и на	3	5
52	это и	3	5
53	как и	7	5
54	и его	5	5
55	все же	7	5
56	в частности	14	4
57	что у	2	4
58	совершенно не	2	4
59	из них	3	4
60	жизни и	3	4
61	а в	11	4
62	одна из	3	4
63	о нем	4	4
64	говорит о	2	4
65	себя в	5	4
66	не будет	3	4
67	на него	3	4
68	в двух	2	4
69	как мы	3	4
70	что не	4	4
71	с точки	2	4
72	в таком	2	4
73	можно было	2	4
74	исходя из	2	4
75	только в	4	4
76	не то	2	4
77	же как	3	3
78	с одной	7	3
79	точно так	2	3
80	что именно	2	3
81	в мире	9	3
82	ни в	3	3
83	тому же	5	3
84	в пределах	2	3
85	одной стороны	7	3
86	например в	2	3
87	вслед за	4	3
88	обратимся к	3	3
89	с ее	3	3
90	но и	23	3
91	и до	2	3
92	не было	2	3
93	событий в	2	3
94	в то	3	3
95	события в	2	3
96	его в	2	3
97	та же	2	3
98	в основе	5	3
99	идет о	2	3
100	говорить о	2	3
101	но не	5	3
102	она не	2	3
103	речь идет	4	3
104	сами по	2	3
105	так и	9	3
106	как в	7	3
107	да и	4	3
108	во всей	2	3
109	дело с	2	3
110	и сейчас	2	3
111	тем самым	6	3
112	из которых	4	3
113	и он	3	3
114	и для	2	3
115	тем что	3	3
116	далеко не	5	3
117	этого слова	2	3
118	в той	6	3
119	уже в	3	2
120	с чем	2	2
121	столь же	3	2
122	с другой	8	2
123	из этих	3	2
124	прежде всего	4	2
125	события а	2	2
126	другом и	2	2
127	но все	4	2
128	времени и	7	2
129	же время	4	2
130	при этом	9	2
131	все те	4	2
132	не является	8	2
133	точка зрения	6	2
134	один из	3	2
135	от одной	2	2
136	другой стороны	4	2
137	именно в	6	2
138	те же	4	2
139	к другой	2	2
140	не имеет	2	2
141	о ней	3	2
142	в результате	2	2
143	и с	4	2
144	одно из	2	2
145	не в	14	2
146	и потому	2	2
147	бы не	2	2
148	мы имеем	2	2
149	но в	6	2
150	с его	6	2
151	что касается	2	2
152	в ее	3	2
153	по существу	2	2
154	представляет собой	13	2
155	можно сказать	5	2
156	читателя в	2	2
157	иначе говоря	6	2
158	и когда	2	2
159	даже в	2	2
160	бы то	3	2
161	не все	5	2
162	как говорит	3	2
163	со стороны	9	2
164	к самому	2	2
165	даже не	3	2
166	событие в	2	2
167	не на	2	2
168	а с	3	2
169	сводится к	3	2
170	хотя бы	4	2
171	тому как	2	2
172	между двумя	5	2
173	и ее	2	2
174	связи с	4	2
175	героя и	4	2
176	ничего не	2	2
177	что нет	2	2
