N	2gram	Tiupa_Anal_2	Literetu
1	а не	10	20
2	и в	16	19
3	может быть	6	17
4	своего рода	12	13
5	то же	4	12
6	авторитарного сознания	3	12
7	и не	12	11
8	и т.п	8	10
9	в том	12	10
10	как и	14	10
11	но и	12	10
12	состоит в	8	9
13	же время	2	9
14	такого рода	2	9
15	не может	4	9
16	тогда как	19	9
17	в мире	6	9
18	в этом	18	9
19	в то	2	9
20	с другой	6	8
21	не только	16	8
22	и даже	9	8
23	том что	12	7
24	то что	7	7
25	так и	15	7
26	с одной	5	7
27	я в	3	7
28	и т.д	3	7
29	не менее	4	6
30	в себе	7	6
31	одной стороны	4	6
32	при этом	10	6
33	себя в	2	6
34	и на	6	6
35	для всех	2	5
36	конечном счете	2	5
37	столь же	4	5
38	но не	4	5
39	в качестве	11	5
40	он не	2	5
41	в конечном	3	5
42	на фоне	3	5
43	вместе с	2	5
44	уединенного сознания	8	5
45	того что	2	5
46	то есть	9	5
47	в рамках	3	4
48	что в	2	4
49	в частности	16	4
50	прежде всего	3	4
51	не в	4	4
52	отнюдь не	8	4
53	того же	4	4
54	для него	4	4
55	в его	2	4
56	еще в	2	4
57	даже в	2	4
58	один из	2	4
59	ли не	2	4
60	так что	3	4
61	другой стороны	2	4
62	по отношению	4	4
63	тем что	3	4
64	точки зрения	4	4
65	лирического героя	5	4
66	не случайно	8	4
67	едва ли	3	4
68	я и	3	4
69	никогда не	3	3
70	о себе	2	3
71	в поэзии	2	3
72	в себя	4	3
73	по существу	2	3
74	в этой	9	3
75	обращаясь к	2	3
76	и он	2	3
77	в сущности	4	3
78	во всех	4	3
79	своего другого	2	3
80	речь идет	2	3
81	не с	4	3
82	отношению к	4	3
83	данном случае	5	3
84	со стороны	3	3
85	в их	3	3
86	и для	2	3
87	этом отношении	3	3
88	всего лишь	8	3
89	тем самым	4	3
90	с точки	2	3
91	а в	3	3
92	и его	4	3
93	и то	3	3
94	не столько	3	3
95	в данном	8	3
96	как правило	4	3
97	ничего не	9	3
98	на этом	4	2
99	у него	4	2
100	в нашем	3	2
101	в противоположность	2	2
102	по крайней	3	2
103	в конце	4	2
104	в одном	2	2
105	вовсе не	2	2
106	как уже	3	2
107	и к	5	2
108	а также	7	2
109	крайней мере	3	2
110	этом случае	4	2
111	а затем	2	2
112	тем не	3	2
113	в ситуации	3	2
114	присутствия в	2	2
115	все что	2	2
116	ведь это	2	2
117	еще не	2	2
118	было бы	3	2
119	и сам	3	2
120	не так	4	2
121	одной из	3	2
122	из своих	2	2
123	при всей	3	2
124	свидетельствует о	2	2
125	в роли	2	2
126	как бы	10	2
127	себе не	2	2
128	как писал	2	2
129	что и	3	2
130	с ее	2	2
131	в целом	8	2
132	из них	3	2
133	могут быть	10	2
134	по преимуществу	4	2
135	и за	3	2
136	и до	2	2
137	как раз	4	2
138	и одновременно	3	2
139	той же	2	2
140	и читателя	3	2
141	к своему	2	2
142	уже не	4	2
143	коммуникативного события	4	2
144	художественного мира	2	2
145	не знает	3	2
146	являет собой	3	2
147	в результате	3	2
148	одно из	2	2
149	подобно тому	3	2
150	на себя	5	2
151	он и	2	2
152	соответствии с	2	2
153	о том	7	2
154	представляет собой	8	2
155	тому как	3	2
156	как это	6	2
157	с ним	2	2
158	но в	6	2
